req/minv,wamp_% Processor Time,wamp_% User Time,wamp_% Privileged Time,wamp_Virtual Bytes Peak,wamp_Virtual Bytes,wamp_Page Faults/sec,wamp_Working Set Peak,wamp_Working Set,wamp_Page File Bytes Peak,wamp_Page File Bytes,wamp_Private Bytes,wamp_Thread Count,wamp_Priority Base,wamp_Elapsed Time,wamp_ID Process,wamp_Creating Process ID,wamp_Pool Paged Bytes,wamp_Pool Nonpaged Bytes,wamp_Handle Count,wamp_IO Read Operations/sec,wamp_IO Write Operations/sec,wamp_IO Data Operations/sec,wamp_IO Other Operations/sec,wamp_IO Read Bytes/sec,wamp_IO Write Bytes/sec,wamp_IO Data Bytes/sec,wamp_IO Other Bytes/sec,wamp_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_Elapsed Time,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
319,3.228358384,1.041455672,2.186902712,187850069.3,187837098.7,243.068189,56054442.67,56049664,74224298.67,74222933.33,74222933.33,69,8,278.8289096,3152,4080,188989.3333,73013.33333,362.5,0,4.953589788,4.953589788,298.3767904,0,882.4285298,882.4285298,8778.26479,46389930.67,3.854166667,2.265625,1.588541667,389252437.3,388202496,165.7463836,247418880,247400448,255724885.3,254452394.7,254452394.7,46.5,8,430.8323727,1360,480,183344,34816,688.1666667,268.9564607,6.782826223,275.7392869,169.151653,473650.2375,174488.0456,648138.2832,1869.882706,237172736
603,4.104383698,1.460390687,2.643993011,227270656,227246080,34.26333863,75629909.33,75616256,105265834.7,105261738.7,105261738.7,69,8,338.4267245,3152,4080,203048,89682.66667,424,0,9.958755312,9.958755312,553.3405726,0,1908.338286,1908.338286,16566.3343,65875968,12.39583333,6.953125,5.442708333,415797248,415793152,6.583556835,269525674.7,269525674.7,275095552,275091456,275091456,57,8,490.8323727,1360,480,189792,44680,776.3333333,756.9980563,26.81709877,783.8151551,124.5359064,1482826.684,689669.2095,2172495.894,3101.361641,259088384
630,4.843187494,1.614081348,3.229106146,227272021.3,227246080,35.96352532,75767125.33,75750741.33,105321813.3,105317717.3,105317717.3,69,8,398.6200356,3152,4080,200584,83856,424,0,10.52333799,10.52333799,595.7828432,0,2000.128627,2000.128627,17925.56647,66010453.33,12.13541667,7.34375,4.791666667,415797248,415793152,1.499995413,269977600,269977600,275233450.7,275230720,275230720,57,8,550.8323727,1360,480,189792,44837.33333,792.3333333,797.8973076,26.79989191,824.6971995,127.0496023,1521411.894,683841.4331,2205253.327,3232.189316,259536896
592,5.052351834,1.718801348,3.333550486,236066133.3,236038826.7,128.1720085,80085674.67,80072021.33,112465237.3,112461824,112461824,69,8,458.6159666,3152,4080,206162.6667,84918.66667,440.1666667,0,9.657736981,9.657736981,543.5315661,0,1753.145414,1753.145414,15928.58553,70331733.33,8.411458333,4.84375,3.567708333,420515157.3,420511744,14.6830768,270755840,270755840,276953088,276949674.7,276949674.7,61.5,8,610.8323727,1360,480,190800,48856,822.3333333,560.540088,23.36655741,583.9066454,121.2815672,1074004.495,608066.2393,1682070.735,2503.540201,260315136
709,4.123991126,1.201027622,2.922963504,280026453.3,280002560,44.88756056,100982101.3,100968448,148319573.3,148316160,148316160,69,8,518.2155248,3152,4080,244968,129930.6667,539,0,11.71051441,11.71051441,643.6737881,0,2228.421472,2228.421472,19274.07915,91228160,13.90625,8.333333333,5.572916667,444108800,444104704,8.066428683,275004074.7,275003392,286003200,286000469.3,286000469.3,84,8,670.8323727,1360,480,195840,70029.33333,936.5,883.6539405,30.31701919,913.9709597,180.9332621,1658406.043,775707.677,2434113.72,3817.927636,264558592
536,2.265157403,0.546751076,1.718406327,280027136,280002560,31.89895427,101397162.7,101382826.7,149135360,149131264,149131264,69,8,578.4063336,3152,4080,242216,121738.6667,533.1666667,0,9.743621065,9.743621065,524.4917654,0,1880.612605,1880.612605,15684.72022,91642538.67,13.09895833,7.213541667,5.885416667,444108800,444104704,1.783302638,275234133.3,275234133.3,286157482.7,286151338.7,286151338.7,84,8,730.8323727,1360,480,195840,69736,952.5,742.3522855,29.99950038,772.3517859,129.7481016,1487829.999,767049.2877,2254879.287,3054.641906,264789333.3
602,2.99426895,0.208302977,2.785965974,310005760,309985280,78.11956651,110847317.3,110838442.7,165458602.7,165455189.3,165455189.3,69,8,638.4058454,3152,4080,261160,143340,589,0,9.15386295,9.15386295,539.5273016,0,1621.308694,1621.308694,15895.50346,101098154.7,9.817708333,5.755208333,4.0625,454594560,454590464,13.3335904,277157205.3,277154474.7,290323114.7,290318336,290318336,94,8,790.8323727,1360,480,200810.6667,79016,1008,629.0552135,21.85039529,650.9056087,136.9681094,1175453.849,556862.6541,1732316.503,2818.89123,266709674.7
621,0.937518418,0.052050315,0.885468104,316004352,315981824,36.09441038,113332906.7,113317205.3,170269354.7,170265258.7,170265258.7,69,8,698.4060081,3152,4080,265896,151992,599,0,10.51783039,10.51783039,574.4421368,0,1991.604497,1991.604497,17157.49992,103576917.3,13.59375,7.65625,5.9375,459837440,459833344,1.333326274,278252202.7,278252202.7,292480341.3,292474197.3,292474197.3,99,8,850.8323727,1360,480,203296,83656,1046.166667,764.4184024,31.74948064,796.167883,121.4309237,1466810.855,806237.8083,2273048.663,3113.555659,267807402.7
534,1.425768856,0.160825853,1.264943003,316006400,315981824,28.75171605,113457834.7,113442816,170270720,170266624,170266624,69,8,758.0328022,3152,4080,258632,129330.6667,587,0,9.037975082,9.037975082,503.3750692,0,1685.089298,1685.089298,14920.13795,103702528,9.6875,5.520833333,4.166666667,459837440,459833344,1.233336502,278383957.3,278382592,292605952,292603221.3,292603221.3,99,8,910.8323727,1360,480,203296,83656,1063.833333,589.2681225,24.58396154,613.8520841,98.28565083,1177088.649,638361.8028,1815450.452,2402.205206,267937792
644,1.123758873,0.10589537,1.017863502,316006400,315981824,35.87203751,113508352,113489920,170270720,170266624,170266624,69,8,817.8250613,3152,4080,259368,131170.6667,582,0,10.85649426,10.85649426,603.4292412,0,2091.308891,2091.308891,18087.30012,103749632,11.71875,6.640625,5.078125,459837440,459833344,0.366657744,278562816,278562816,292756138.7,292752042.7,292752042.7,99,8,970.8323727,1360,480,203296,83656,1076.166667,814.1221978,29.50010066,843.6222985,132.9181049,1585704.412,747872.627,2333577.039,3284.590102,268118016
