req/minv,wamp_% Processor Time,wamp_% User Time,wamp_% Privileged Time,wamp_Virtual Bytes Peak,wamp_Virtual Bytes,wamp_Page Faults/sec,wamp_Working Set Peak,wamp_Working Set,wamp_Page File Bytes Peak,wamp_Page File Bytes,wamp_Private Bytes,wamp_Thread Count,wamp_Priority Base,wamp_Elapsed Time,wamp_ID Process,wamp_Creating Process ID,wamp_Pool Paged Bytes,wamp_Pool Nonpaged Bytes,wamp_Handle Count,wamp_IO Read Operations/sec,wamp_IO Write Operations/sec,wamp_IO Data Operations/sec,wamp_IO Other Operations/sec,wamp_IO Read Bytes/sec,wamp_IO Write Bytes/sec,wamp_IO Data Bytes/sec,wamp_IO Other Bytes/sec,wamp_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_Elapsed Time,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
2407,8.144247358,1.696288107,6.447959251,295460864,295436288,146.1228125,110632277.3,110614528,154683392,154679978.7,154679978.7,69,8,199.6625377,4772,2468,231472,116290.6667,542.5,0,43.78419397,43.78419397,2259.304652,0,8257.779078,8257.779078,67071.64531,101177344,14.73482886,8.809300482,5.925528377,520511488,480468992,5.474978801,302563328,301425322.7,324395008,311738368,311738368,88,8,966592.1578,1320,476,272624,73858.66667,5598.5,517.1193254,56.72959562,573.848921,402.8462147,1204151.977,1544328.546,2748480.523,3140.066739,290345642.7
2805,11.63233156,2.885354943,8.746976621,295460864,295436288,145.5575659,111140181.3,111123797.3,155041792,155037696,155037696,69,8,257.4442508,4772,2468,231408,116269.3333,542,0,44.59026673,44.59026673,2298.018862,0,8495.014748,8495.014748,68410.82476,101686613.3,16.84483837,10.07593762,6.768900749,520511488,481517568,0.300296564,302563328,301451264,324395008,311762944,311762944,89,8,966652.1678,1320,476,272624,75213.33333,5600,522.741878,63.00089385,585.7427718,403.4825838,1227719.157,1705764.346,2933483.503,3135.682457,290371584
2442,10.02149097,2.331354828,7.690136143,175660373.3,175637845.3,131.1502862,52401493.33,52383744,64892928,64890197.33,64890197.33,69,8,34.86673188,3408,2468,185458.6667,76222.66667,358.1666667,0,38.90765513,38.90765513,2003.427039,0,7402.299234,7402.299234,59617.44213,42957482.67,19.75581802,11.83736658,7.918451435,520511488,448137898.7,3.472476608,302563328,299291989.3,324395008,302903978.7,302903978.7,57.16666667,8,966711.7119,1320,476,265680,44960,5517.333333,537.6066724,205.4958282,743.1025007,415.5446765,1233189.739,1732923.196,2966112.935,4365.995003,288212309.3
2278,8.74642419,1.813293813,6.933130376,259259050.7,259052885.3,350.8877008,94997162.67,94982144,129364650.7,129360554.7,129360554.7,69,8,90.05728747,3408,2468,218234.6667,110506.6667,496.8333333,0,32.14618295,32.14618295,1653.664453,0,5973.631536,5973.631536,48860.06266,85493077.33,12.68554205,7.554142806,5.131399238,520511488,468934656,13.78230249,302563328,300677802.7,324395008,308598101.3,308598101.3,77,8,966771.9349,1320,476,270160,63650.66667,5599.333333,374.1817096,49.73319363,423.9149032,308.478294,966808.755,1371029.648,2337838.403,2366.87058,289598122.7
2066,7.912754709,2.120528792,5.792225917,295460864,295436288,119.1241865,114086570.7,114072917.3,158119936,158116522.7,158116522.7,69,8,151.4953192,3408,2468,235248,132197.3333,561,0,36.12766481,36.12766481,1872.857614,0,6846.543771,6846.543771,55726.68371,104582485.3,14.73903655,8.385020978,6.354015574,520511488,479245653.3,0.60091665,302563328,301404160,324395008,311442773.3,311442773.3,86.83333333,8,966831.9403,1320,476,272400,72805.33333,5641.166667,454.2811961,60.52262311,514.8038192,335.3616072,1211963.694,1654121.292,2866084.986,2663.562887,290324480
1689,7.059527954,1.537148685,5.52237927,299655168,299630592,109.8651726,115707904,115693568,160604842.7,160601429.3,160601429.3,69,8,210.6961675,3408,2468,237520,126658.6667,566.3333333,0,29.24570437,29.24570437,1552.291053,0,5476.398494,5476.398494,45972.23307,106203136,12.82284786,7.639113461,5.183734395,520511488,483614720,8.723616129,302688256,301704533.3,324395008,312591018.7,312591018.7,91,8,966891.4568,1320,476,273296,76813.33333,5659.333333,371.5802846,47.79778115,419.3780658,302.6044832,936869.0406,1306419.671,2243288.711,2374.976775,290624853.3
2068,7.899867793,2.244889011,5.654978782,308047189.3,308019200,111.2573711,118397610.7,118378496,165141845.3,165137749.3,165137749.3,69,8,270.6713905,3408,2468,252528,150778.6667,595,0,34.17773368,34.17773368,1761.455895,0,6495.560943,6495.560943,52460.75479,108888064,15.23657282,8.881629064,6.354943751,520511488,492003328,5.058127965,303333376,302292992,324395008,314875904,314875904,99,8,966951.7239,1320,476,275088,84408,5696.666667,429.7351973,63.90893482,493.6441321,327.9453117,1215928.789,1778496.855,2994425.645,2565.432572,291213312
1649,5.027013311,1.119876964,3.907136347,308047872,308019200,81.4185587,118508202.7,118487040,165154816,165150720,165150720,69,8,330.7829356,3408,2468,247536,133784,584.8333333,0,25.81997256,25.81997256,1317.176809,0,4939.459636,4939.459636,39050.29366,108996608,10.83156222,6.040295033,4.791267189,520511488,491828565.3,0.46679489,303337472,302318250.7,324395008,314871808,314871808,98.83333333,8,967011.7265,1320,476,275088,84709.33333,5697,309.944603,51.05562736,361.0002304,242.9212041,929335.2835,1398964.44,2328299.723,1818.870208,291238570.7
2406,8.526718798,2.044884023,6.481834775,308047872,308019200,137.8640318,118544384,118521173.3,165154816,165150720,165150720,69,8,390.434992,3408,2468,246000,129650.6667,579,0,42.2949589,42.2949589,2214.507588,0,8000.289258,8000.289258,65881.60048,109030741.3,16.66593409,10.22311131,6.442822782,520511488,492003328,0.383704531,303337472,302325760,324395008,314875904,314875904,99,8,967071.4323,1320,476,275088,86376,5699,528.1580621,61.97171926,590.1297813,393.6287016,1275576.845,1661164.146,2936740.991,3069.744805,291246080
2384,8.55883756,2.133525843,6.425311716,308047872,308019200,133.0180539,118579200,118555306.7,165176661.3,165172565.3,165172565.3,69,8,450.2473844,3408,2468,245808,129586.6667,579,0,41.04676486,41.04676486,2127.871393,0,7830.304301,7830.304301,63358.21755,109064874.7,16.66158214,9.662763475,6.99881866,520511488,491828565.3,8.663984534,303357952,302322346.7,324395008,314871808,314871808,98.83333333,8,967131.4713,1320,476,275088,85392,5698.666667,509.4810821,61.70334708,571.1844292,384.1595057,1238160.317,1728623.793,2966784.11,2981.074416,291242666.7
2326,7.275431647,1.885059407,5.390372239,308047872,307931818.7,117.488911,118654976,118626986.7,165285888,165273600,165273600,68.66666667,8,510.3574497,3408,2468,244272,123618.6667,577.5,0,36.59360305,36.59360305,1902.168159,0,6882.447145,6882.447145,56500.64157,109135189.3,13.80230271,8.411522149,5.390780557,520511488,492003328,0.100226436,303378432,302326442.7,324395008,314875904,314875904,99,8,967191.5165,1320,476,275088,85005.33333,5698.333333,449.0571751,55.31158009,504.3687552,329.0001449,1070814.556,1504458.557,2575273.113,2630.846273,291246762.7
2355,7.817266214,1.946690347,5.870575866,184899584,184872960,112.1046707,54046720,54031018.67,74094592,74090496,74090496,69,8,33.34853498,2360,2468,197984,80037.33333,375.8333333,0,33.7267965,33.7267965,1750.69919,0,6408.878292,6408.878292,52146.80277,44274346.67,18.43526193,10.78872728,7.646534645,520511488,460546048,3.962262123,303378432,300154880,324395008,306348032,306348032,69,8,967251.0346,1320,476,266128,49176,5634,502.1876376,234.3808792,736.5685169,382.099583,1198109.614,1709387.981,2907497.595,4368.247671,289075200
1955,7.695079615,1.528020123,6.167059493,203415552,203386880,179.0894712,63955626.67,63938560,89708544,89706496,89706496,69,8,93.16280913,2360,2468,207200,87121.33333,406.3333333,0,31.58118596,31.58118596,1654.943102,0,5986.826527,5986.826527,49095.46285,54179157.33,14.21760867,7.70762307,6.509985604,520511488,461944149.3,5.266661186,303378432,300264789.3,324395008,306765824,306765824,70.33333333,8,967311.3024,1320,476,267584,54125.33333,5645.666667,407.9123825,51.80845885,459.7208413,294.4446437,1010870.066,1432265.444,2443135.51,2398.130512,289185109.3
2409,10.09657947,2.36599416,7.730585315,221929472,221900800,131.4098954,73616042.67,73596928,105405098.7,105402368,105402368,69,8,153.2706762,2360,2468,217248,99226.66667,438.3333333,0,40.27349898,40.27349898,2099.359638,0,7639.780175,7639.780175,62534.51509,63836160,18.09798238,10.88478557,7.213196803,520511488,463691776,0.116834782,303378432,300382208,324395008,307191808,307191808,72,8,967371.3064,1320,476,269040,58840,5658,516.8370222,59.93989913,576.7769214,380.7601294,1194043.699,1629080.415,2823124.114,3039.025013,289302528
1866,8.185054933,1.586424339,6.598630593,227837952,227809962.7,174.0015907,76683946.67,76660053.33,110235648,110232234.7,110232234.7,69,8,212.9294344,2360,2468,218762.6667,95625.33333,447,0,31.84352496,31.84352496,1680.794227,0,6038.613094,6038.613094,49860.92244,66899285.33,13.60019817,7.257906366,6.342291806,520511488,465788928,3.383625092,303378432,300520106.7,324395008,307760469.3,307760469.3,74,8,967430.8206,1320,476,269488,60781.33333,5666,402.5722733,48.90665645,451.4789298,302.796509,927799.1133,1344866.239,2272665.352,2395.47149,289440426.7
2225,8.475535033,2.001052835,6.474482198,257384448,257355776,124.8545805,91618645.33,91599530.67,134377472,134373376,134373376,69,8,272.6684189,2360,2468,238624,118797.3333,506.1666667,0,38.01947299,38.01947299,1975.996562,0,7199.525603,7199.525603,58856.80635,81838762.67,17.08381714,10.57311814,6.510699,520511488,476274688,0.133506788,303378432,301223936,324395008,310603776,310603776,84,8,967491.0887,1320,476,271728,70061.33333,5707.5,486.9484582,61.1488475,548.0973057,357.1248576,1243467.984,1662216.179,2905684.163,2817.91629,290144256
1656,7.277388915,1.829900161,5.447488754,213254144,213228202.7,83.88032655,70582272,70566570.67,100589568,100585472,100585472,69,8,119.4257557,2717.333333,2468,214389.3333,94706.66667,430,0,25.34178382,25.34178382,1325.670009,0,4902.419907,4902.419907,39508.51989,60811264,15.73253938,8.756856939,6.975682445,520511488,468410368,5.07587905,303378432,300685312,324395008,308510720,308510720,76.5,8,967550.9818,1320,476,268592,58629.33333,5692.5,411.9764779,189.0299928,601.0064708,307.3823116,1110747.772,1608185.449,2718933.22,3458.557176,289605632
1904,6.346674529,1.77332659,4.573347938,294098944,293935786.7,308.3265083,103441066.7,103428778.7,153845077.3,153841664,153841664,69,8,72.75937613,2896,2468,248853.3333,134981.3333,558.8333333,0,29.96980814,29.96980814,1582.891971,0,5555.87784,5555.87784,46822.38907,93672106.67,13.0714804,7.384522678,5.686957725,520511488,484663296,11.23336742,303378432,301744128,324395008,312926890.7,312926890.7,92,8,967610.6916,1320,476,273184,76453.33333,5772,407.4361504,49.28675682,456.7229073,289.7389576,1058993.977,1361343.053,2420337.03,2357.196406,290664448
2101,4.385946426,1.010037423,3.375909003,240459093.3,240436565.3,92.56443807,76285952,76276394.67,110789290.7,110786560,110786560,69,8,13.64330573,2666.666667,2468,220512,108948,470.8333333,0,22.11471315,22.11471315,1182.966422,0,4199.34316,4199.34316,35371.34308,66523818.67,16.12064421,9.34879417,6.771850037,520511488,475575637.3,18.54314529,303378432,300935168,324395008,310422869.3,310422869.3,83.33333333,8,967670.8857,1320,476,272666.6667,64312,5787.333333,463.4828282,331.9311417,795.4139698,354.8774232,1259904.656,1704034.302,2963938.958,4975.816187,289855488
1693,5.213211302,0.874582472,4.338628831,242295466.7,242271573.3,163.2781645,78770176,78762666.67,114667520,114665472,114665472,69,8,41.48606508,4096,2468,221749.3333,102788,466.1666667,0,21.67619227,21.67619227,1136.280615,0,4065.073234,4065.073234,33536.59326,69004629.33,12.03273894,6.798543687,5.234195251,520511488,476624213.3,12.82326871,303378432,301172736,324395008,310766250.7,310766250.7,84.33333333,8,967730.8819,1320,476,274069.3333,65381.33333,5818.166667,371.4002733,198.0168594,569.4171328,273.4105213,1025586.411,1438255.504,2463841.916,3352.528141,290093056
2050,5.844527398,1.40724221,4.437285188,220351146.7,220327936,93.59615065,70832128,70821205.33,101681834.7,101679786.7,101679786.7,69,8,17.31515037,3696,2468,214880,101256,445.5,0,25.03706516,25.03706516,1321.158108,0,4799.851708,4799.851708,39451.26126,61068629.33,17.0949958,10.38597979,6.709016007,520511488,472604672,13.90398404,303378432,300867584,324395008,309670570.7,309670570.7,80.5,8,967790.4058,1320,476,272912,60192,5858.666667,511.1958674,256.5051365,767.7010039,374.2757997,1354397.381,1749372.704,3103770.084,4555.996064,289787904
1737,6.168970514,1.561850728,4.607119787,229811541.3,229786965.3,180.558948,75422378.67,75409408,109081258.7,109077845.3,109077845.3,69,8,52.71582033,4636,2468,217866.6667,97808,451.5,0,27.90665384,27.90665384,1467.54472,0,5277.028841,5277.028841,43481.75553,65655466.67,12.52501326,7.578072561,4.946940696,520511488,474002773.3,1.487904097,303378432,301023914.7,324395008,309995520,309995520,81.83333333,8,967850.6764,1320,476,273472,62232,5893,377.4878073,48.63161978,426.1194271,263.5932282,935160.3214,1333248.494,2268408.815,2160.007699,289944234.7
2052,7.917983971,1.760593267,6.157390703,277106688,277082112,115.4811629,93987498.67,93973162.67,138967040,138964309.3,138964309.3,69,8,112.2431877,4636,2468,242592,126336,520.5,0,34.87832237,34.87832237,1840.501918,0,6629.232097,6629.232097,54936.37752,84216490.67,16.02488494,9.369295579,6.655589357,520511488,478371840,0.20007351,303378432,301334528,324395008,311173120,311173120,86,8,967910.2991,1320,476,276272,71832,5918,488.9693788,61.12349299,550.0928718,332.6616329,1316615.341,1676968.681,2993584.022,2725.078042,290254848
1774,7.356118266,1.612284346,5.74383392,277106688,277082112,109.4602384,94376618.67,94359552,139248298.7,139244885.3,139244885.3,69,8,172.1408938,4636,2468,240448,120162.6667,515.6666667,0,33.97955107,33.97955107,1766.90229,0,6496.959206,6496.959206,52578.64224,84602880,14.21731187,8.780823126,5.436488742,520511488,478371840,0.116864163,303378432,301348864,324395008,311173120,311173120,86,8,967970.4655,1320,476,276272,71832,5918,448.5789387,61.55562862,510.1345673,311.7000999,1157970.391,1696397.897,2854368.288,2529.688343,290269184
2105,7.494568883,1.453508846,6.041060037,288902485.3,288879274.7,153.3331211,105237845.3,105222826.7,156823552,156820138.7,156820138.7,69,8,232.2238587,4636,2468,252097.3333,134321.3333,562.5,0,30.85489718,30.85489718,1643.675281,0,5740.428964,5740.428964,48778.93523,95466154.67,10.70471854,6.745804523,3.958914013,520511488,486061397.3,11.39813818,303378432,301868373.3,324395008,313302357.3,313302357.3,93.33333333,8,968030.4695,1320,476,277952,78752,5948.5,432.8910028,49.05071485,481.9417177,294.676659,1061677.462,1373746.557,2435424.02,2446.729835,290788693.3
1925,5.434492817,1.317642686,4.11685013,256595968,256570026.7,93.13169771,90402133.33,90389162.67,132971861.3,132968448,132968448,69,8,147.8595829,4812,2468,235873.3333,121820,512,0,27.26650625,27.26650625,1448.132758,0,5235.026842,5235.026842,43281.47453,80576512,16.52344011,10.14336274,6.380077371,520511488,480468992,7.173363394,303378432,301340672,324395008,311792981.3,311792981.3,88,8,968090.0874,1320,476,275002.6667,68728,5944.333333,482.4286074,221.801278,704.2298854,331.9174659,1256167.468,1691950.25,2948117.718,4063.245802,290260992
