req/minv,java_% Processor Time,java_% User Time,java_% Privileged Time,java_Virtual Bytes Peak,java_Virtual Bytes,java_Page Faults/sec,java_Working Set Peak,java_Working Set,java_Page File Bytes Peak,java_Page File Bytes,java_Private Bytes,java_Thread Count,java_Priority Base,java_Elapsed Time,java_ID Process,java_Creating Process ID,java_Pool Paged Bytes,java_Pool Nonpaged Bytes,java_Handle Count,java_IO Read Operations/sec,java_IO Write Operations/sec,java_IO Data Operations/sec,java_IO Other Operations/sec,java_IO Read Bytes/sec,java_IO Write Bytes/sec,java_IO Data Bytes/sec,java_IO Other Bytes/sec,java_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_Elapsed Time,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
342,13.30123184,11.66603453,1.635197309,1850280619,1848532992,516.228032,724926464,641832960,860602368,759780010.7,759780010.7,51,8,117.2186178,1640,3436,143146.6667,45178.66667,601.5,52.92124897,0.01666811,52.93791707,183.0141296,14413.46469,5.000432973,14418.46512,27073.96532,632207360,1.536458333,1.145833333,0.390625,494239744,418217984,7.183298386,284385280,281186304,301670400,282948949.3,282948949.3,43.5,8,95594.22136,1360,480,206128,30298.66667,2070.333333,8.133295177,0,8.133295177,77.93296772,126988.4709,0,126988.4709,474.3977743,270641834.7
1467,23.87460373,17.88743499,5.987168739,1917389483,1917039957,547.9615447,724926464,671930368,860602368,774739285.3,774739285.3,116.3333333,8,170.9524758,1640,3436,178485.3333,143872,1288.333333,230.5486557,0.5175466,231.0662023,648.0525146,34415.34424,3722.472564,38137.8168,102379.0647,662202368,43.56770833,33.61979167,9.947916667,494239744,459636736,54.55030435,291984725.3,291983360,303168853.3,302318250.7,302318250.7,83,8,95652.55469,1360,480,218826.6667,69661.33333,2343,264.3506281,178.5988984,442.9495266,1024.111411,8164751.914,8233644.414,16398396.33,16297.2528,281343317.3
1181,18.20383513,13.75049073,4.453344397,1917739008,1915641856,241.4803765,724926464,670997845.3,860602368,774413653.3,774413653.3,115,8,230.9495461,1640,3436,179168,137960,1279.166667,179.5097963,0.400348544,179.9101448,499.9876407,80289.1096,2955.722794,83244.8324,74346.52797,661269845.3,35.078125,25.78125,9.296875,494239744,459636736,8.400508989,295552341.3,295551658.7,305612800,305610069.3,305610069.3,83,8,95712.55469,1360,480,220192,68928,2481.833333,235.6128102,127.1813403,362.7941504,388.5080413,6336009.893,5537434.031,11873443.93,4644.865958,284910250.7
1248,19.32149051,14.5844611,4.737029409,1917739008,1915641856,273.3449318,724926464,678423210.7,860602368,785289216,785289216,115,8,290.7349811,1640,3436,179168,138941.3333,1288,187.3049779,0.450316135,187.7552941,531.6962347,26531.72787,3311.351032,29843.0789,82875.30562,668695210.7,37.96898263,28.93259818,9.036384455,494239744,459636736,6.766714121,297073322.7,297072640,306948096,306941952,306941952,83,8,95772.55729,1360,480,222922.6667,69682.66667,2550.166667,243.8748372,137.3198052,381.1946424,403.0600892,6688675.338,6051076.008,12739751.35,5372.513126,286431232
1354,16.47952975,12.24125489,4.238274852,1917739008,1915117568,103.8448605,724926464,586266624,860602368,689408682.7,689408682.7,114.5,8,350.6251325,1640,3436,179168,142002.6667,1287.5,201.9773556,0.416843723,202.3941993,579.8378509,28818.49241,2787.688102,31606.18051,96561.16889,576538624,38.59375,28.984375,9.609375,494239744,459461973.3,8.033702781,298684416,298087765.3,308543488,307914069.3,307914069.3,82.83333333,8,95832.55469,1360,480,224288,68888,2589.333333,235.4661025,126.7834577,362.2495603,358.6152795,6222464.583,5635322.035,11857786.62,4689.396176,287446357.3
1431,15.78094361,11.3799705,4.400973107,1917739008,1914593280,230.357762,724926464,510405290.7,860602368,617410560,617410560,114,8,410.7349458,1640,3436,179168,139032,1287,212.5403751,0.500309396,213.0406845,597.4431214,30109.88647,3774.342826,33884.2293,91159.27148,500677290.7,40.18155231,31.3538262,8.827726109,494239744,476042581.3,17.16670942,300048384,298806613.3,309911552,308671146.7,308671146.7,82.83333333,8,95892.55729,1360,480,224288,69008,2609.5,257.4568359,158.4494962,415.9063321,457.0989124,7394223.301,7043193.912,14437417.21,8532.022391,288161792
1185,15.12824021,10.28515125,4.843088967,1917739008,1914593280,127.5474627,724926464,431591424,860602368,542418261.3,542418261.3,114,8,470.7367362,1640,3436,179168,136677.3333,1260.5,186.3946824,0.450565585,186.845248,537.9131305,26409.31906,3323.200183,29732.51924,82445.60461,421863424,37.13541667,28.61979167,8.515625,494239744,476217344,0.91674113,300048384,299001173.3,309911552,308801536,308801536,83,8,95952.55469,1360,480,224288,70584,2617,240.8729433,135.8708687,376.743812,395.5791793,6695791.656,6032182.967,12727974.62,5269.570425,288355669.3
1589,16.09131282,10.70161288,5.389699938,1917739008,1914593280,300.8069928,724926464,462428160,860602368,588052480,588052480,114,8,530.7401541,1640,3436,179168,136800,1234,233.7519296,0.516816214,234.2687458,667.4870758,33114.8567,3735.484884,36850.34158,106080.1199,452700160,39.19270833,30.02604167,9.166666667,494239744,476042581.3,10.45013815,301041664,299360938.7,310983338.7,309127850.7,309127850.7,82.83333333,8,96012.55469,1360,480,224288,74672,2622.5,261.833606,162.3995825,424.2331885,461.355485,7589171.864,7238552.836,14827724.7,6906.888752,288715434.7
1362,15.52124469,11.17198653,4.349258167,1917739008,1914593280,263.7469643,724926464,484681045.3,860602368,590643200,590643200,114,8,590.7364106,1640,3436,179168,140357.3333,1234,209.2245904,0.450397093,209.6749875,590.4556913,29640.1503,3212.068463,32852.21877,92959.97273,474953045.3,37.91666667,27.55208333,10.36458333,494239744,476042581.3,8.383321733,301240320,299302912,311197696,309056170.7,309056170.7,82.83333333,8,96072.55469,1360,480,224288,69008,2625.333333,240.1299523,139.1816015,379.3115538,402.0610284,6569303.19,6169235.336,12738538.53,5482.775954,288657408
1398,16.94950711,12.04284455,4.906662557,1917739008,1914593280,79.92299192,724926464,448580266.7,860602368,556461397.3,556461397.3,114,8,650.3809765,1640,3436,179168,139498.6667,1251.666667,208.427699,0.500277271,208.9279763,587.6873537,84466.62084,3563.632753,88030.25358,94876.99002,438852266.7,38.63547354,29.57537052,9.060103029,494239744,476217344,2.749657921,301240320,299799210.7,311197696,309548373.3,309548373.3,83,8,96132.55729,1360,480,224288,69048,2628.833333,254.6712221,148.2274998,402.8987219,416.6347022,7161152.78,6605025.599,13766178.38,6946.288595,289153706.7
