req/minv,java_% Processor Time,java_% User Time,java_% Privileged Time,java_Virtual Bytes Peak,java_Virtual Bytes,java_Page Faults/sec,java_Working Set Peak,java_Working Set,java_Page File Bytes Peak,java_Page File Bytes,java_Private Bytes,java_Thread Count,java_Priority Base,java_Elapsed Time,java_ID Process,java_Creating Process ID,java_Pool Paged Bytes,java_Pool Nonpaged Bytes,java_Handle Count,java_IO Read Operations/sec,java_IO Write Operations/sec,java_IO Data Operations/sec,java_IO Other Operations/sec,java_IO Read Bytes/sec,java_IO Write Bytes/sec,java_IO Data Bytes/sec,java_IO Other Bytes/sec,java_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_Elapsed Time,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
2109,48.11668807,38.45217723,9.664510839,1349227861,1348655787,1177.388383,515182592,447318698.7,604676096,512882005.3,512882005.3,97.66666667,8,389.5291341,1252,2832,167957.3333,167261.3333,1120.5,326.5519095,0.600201129,327.1521107,873.1975634,55005.89132,4691.446987,59697.33831,135876.7035,437705386.7,16.96888813,9.160816433,7.808071698,409255253.3,409251840,240.054459,256241664,256240981.3,266430464,266130090.7,266130090.7,62.16666667,8,947.8802083,1280,500,190530.6667,50642.66667,987.6666667,258.2151582,164.0074418,422.2225999,869.8020249,7866823.495,7670664.28,15537487.78,28179.22288,246004394.7
2856,43.57380586,29.9535741,13.62023176,1380749312,1379414016,445.7956849,515182592,461773482.7,604676096,572143616,572143616,127,8,449.5273437,1252,2832,175808,181445.3333,1395,430.7459567,0.88321624,431.6291729,1130.650291,61037.62688,6852.606908,67890.23379,183064.2028,452156074.7,30.52816901,17.13985883,13.38831019,462929920,462925824,19.90355352,288010922.7,288009557.3,300052480,300049749.3,300049749.3,87,8,1007.888021,1280,500,207016,80498.66667,1638.666667,511.9567493,290.8034346,802.7601838,651.3545043,14419160.09,13213298.5,27632458.59,26864.90797,277503317.3
3093,42.62973156,30.98893679,11.64079477,1396334592,1393919317,324.5353131,515182592,470334122.7,604676096,576957098.7,576957098.7,140.8333333,8,509.5305989,1252,2832,182896,181848,1550.333333,457.3887626,0.966816527,458.3555791,1204.327516,64800.13624,7412.027684,72212.16392,196560.8488,460694869.3,31.71200598,18.51249675,13.19950923,462929920,462925824,10.1297613,290144256,289325056,302014464,301175466.7,301175466.7,87,8,1067.890625,1280,500,207698.6667,74272,1758.166667,494.1455755,305.14368,799.2892555,632.7578152,14436145.48,13883752.74,28319898.22,28587.59455,278818816
2796,42.72966516,32.33948807,10.39017709,1411919872,1411919872,115.1088631,515182592,471896746.7,604676096,574803968,574803968,158,8,569.5328776,1252,2832,185018.6667,189104,1652.666667,421.9564574,0.899840808,422.8562981,1120.264959,59777.16479,7011.351781,66788.51657,179796.6712,462246570.7,33.69791667,19.40104167,14.296875,462929920,462925824,11.95499861,290549077.3,290193408,302407680,302019925.3,302019925.3,87,8,1127.890625,1280,500,211112,73448,1825.5,528.043753,308.002925,836.046678,598.2391851,15037468.07,14023137.58,29060605.65,28189.27523,279687168
2915,41.69176945,31.45838495,10.2333845,1411919872,1399686485,377.4494807,515182592,474968064,605127338.7,575276373.3,575276373.3,146.3333333,8,629.5297851,1252,2832,178970.6667,167069.3333,1623.166667,445.5937682,0.916557791,446.510326,1175.563393,118043.8832,7109.747523,125153.6307,191295.0128,465317888,32.421875,17.36979167,15.05208333,462929920,462925824,4.581633059,292241408,290850133.3,304136192,302655488,302655488,87,8,1187.890625,1280,500,211112,73448,1870.166667,521.1704296,309.9494973,831.119927,609.9877066,15001441.65,14045023.7,29046465.35,26865.74114,280343893.3
2914,37.08780623,25.6837162,11.40409002,1411919872,1379763541,422.6030933,515182592,483657045.3,607383552,580816213.3,580816213.3,127.3333333,8,689.5262044,1252,2832,179082.6667,183562.6667,1538.833333,442.1411245,1.000009181,443.1411336,1166.672731,117468.1664,7694.14997,125162.3164,188719.3391,474006869.3,31.953125,17.39583333,14.55729167,463639893.3,462925824,8.133870757,292241408,290867200,304136192,302659584,302659584,87,8,1247.890625,1280,500,211112,73888,1898.666667,518.2045932,292.5628837,810.767477,572.3964085,14509077.14,13302441.53,27811518.67,26484.48449,280360960
2938,39.71314693,30.59775799,9.115388937,1411919872,1382559744,426.2981344,515182592,481841152,607383552,577165994.7,577165994.7,130,8,749.5301107,1252,2832,184981.3333,190541.3333,1584.666667,430.8005089,0.849759415,431.6502683,1139.44696,61029.30491,6527.754764,67557.05967,188218.1158,472190976,29.53640888,17.52858302,12.00782586,463994880,462925824,18.18345902,293113856,291614720,305733632,303394816,303394816,87,8,1307.885417,1280,500,211112,80842.66667,1919.666667,474.9798683,284.135132,759.1150003,546.540681,13666356.49,12898529.46,26564885.96,25978.82201,281104384
2755,35.57989066,23.62266524,11.95722543,1412094635,1405104128,61.96499605,515182592,482731349.3,607383552,576663552,576663552,151.5,8,809.5266927,1252,2832,186549.3333,214442.6667,1678.5,418.1898128,0.933445775,419.1232586,1107.475548,59243.27319,7234.62619,66477.89938,177555.7249,473077077.3,33.1694049,18.77145086,14.39795404,463994880,462925824,3.464331877,293113856,292704938.7,305733632,304530090.7,304530090.7,87,8,1367.885417,1280,500,211112,74005.33333,1931.5,480.6649712,312.9869077,793.651879,592.4146822,14486705.77,14338294.96,28825000.72,30830.11736,282194602.7
2738,35.4361524,24.49973534,10.93641707,1413842261,1413842261,24.31040916,515182592,484099413.3,607383552,576883370.7,576883370.7,159.8333333,8,869.5257161,1252,2832,188528,232504,1729,408.8222625,0.833259551,409.655522,1088.336737,57925.80387,6543.351399,64469.15527,178177.1053,474445141.3,31.5625,17.96875,13.59375,463994880,462925824,17.11591813,294572032,292779349.3,306348032,304542378.7,304542378.7,87,8,1427.890625,1280,500,211112,77112,1933.833333,524.4261189,306.7349845,831.1611034,580.1551642,14933433.29,13916103.55,28849536.83,29620.00703,282269013.3
2699,35.78492427,25.34107968,10.44384459,1416114176,1416114176,134.8615978,515182592,484418901.3,607383552,575922176,575922176,162,8,929.5257161,1252,2832,192389.3333,212869.3333,1750.5,399.6042659,0.949920124,400.554186,1058.730261,56619.86707,7234.450861,63854.31792,171184.0672,474764629.3,34.375,19.71354167,14.66145833,463994880,462925824,0.616640039,294572032,292788224,306348032,304545792,304545792,87,8,1487.890625,1280,500,211112,73448,1941.333333,540.3455047,330.1826735,870.5281783,620.6428769,15791778.16,15101650.21,30893428.37,29137.86821,282277888
2879,23.04867183,16.90314886,6.145522967,1416114176,1411395584,18.79996956,515182592,487404202.7,607383552,577631573.3,577631573.3,157.5,8,989.527181,1252,2832,187994.6667,192405.3333,1700.666667,438.4408154,0.966581867,439.4073973,1178.147712,62112.44885,7530.487764,69642.93662,191695.7947,477749930.7,31.27604167,18.09895833,13.17708333,463994880,462925824,10.24940112,294572032,292160170.7,306348032,303908864,303908864,87,8,1547.890625,1280,500,211112,74320.66667,1943.833333,478.5293554,288.7223693,767.2517247,552.4870414,13707012.03,13075325.57,26782337.6,25737.31764,281649834.7
2827,15.57544856,9.689618171,5.885830386,1416114176,1395841707,5.68616329,515182592,488764074.7,607383552,577749674.7,577749674.7,142.6666667,8,1049.524089,1252,2832,189749.3333,183386.6667,1603.166667,429.1683363,0.900005237,430.0683415,1159.966238,60798.84764,6847.623115,67646.47075,189630.1139,479109802.7,30.83333333,17.96875,12.86458333,463994880,462925824,4.753014775,294572032,291973120,306348032,303760042.7,303760042.7,87,8,1607.890625,1280,500,211112,73618.66667,1952,494.5172452,307.6226308,802.1398759,581.809727,14537222.87,14038735.25,28575958.12,27990.68105,281462784
