req/minp,java_% Processor Time,java_% User Time,java_% Privileged Time,java_Virtual Bytes Peak,java_Virtual Bytes,java_Page Faults/sec,java_Working Set Peak,java_Working Set,java_Page File Bytes Peak,java_Page File Bytes,java_Private Bytes,java_Thread Count,java_Priority Base,java_Elapsed Time,java_ID Process,java_Creating Process ID,java_Pool Paged Bytes,java_Pool Nonpaged Bytes,java_Handle Count,java_IO Read Operations/sec,java_IO Write Operations/sec,java_IO Data Operations/sec,java_IO Other Operations/sec,java_IO Read Bytes/sec,java_IO Write Bytes/sec,java_IO Data Bytes/sec,java_IO Other Bytes/sec,java_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_Elapsed Time,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
11772,73.8648451,57.09545182,16.76939329,2673790293,2668907179,1380.627943,837758976,506660181.3,1086640128,656975872,656975872,77.66666667,8,551.6668376,4752,4972,159744,134626.6667,921.8333333,1831.394925,3.916846413,1835.311772,4874.483122,259465.1047,31817.87175,291282.9765,777467.7615,495903402.7,23.26127856,17.69954111,5.561737445,791777280,790533461.3,56.21153037,518030677.3,518030677.3,673595392,672731136,672731136,69.83333333,8,1116.138558,1088,636,141552,69008,789.1666667,1037.490445,1372.557149,2410.047595,3447.064562,42205912.99,63269370.9,105475283.9,156222.4723,509064533.3
15643,92.1227057,77.37753966,14.74516606,2676901888,2673975296,617.6552222,837758976,450832384,1086640128,599899477.3,599899477.3,82.5,8,611.669771,4752,4972,169200,182700,1007.5,2212.203252,4.817689966,2217.020942,5889.897094,313395.4612,39008.80155,352404.2627,955465.3092,440059904,41.57585651,32.7094606,8.866395919,797534208,796999680,84.53778447,531378176,531173376,676853077.3,676446208,676446208,76,8,1176.136263,1088,636,142896,110904,811.3333333,1316.501417,1736.906481,3053.407898,4365.725699,53689617.12,80622215.48,134311832.6,197869.0118,522207232
13867,86.98722241,71.02521804,15.96200436,2697043968,2697043968,643.6419903,837758976,506550954.7,1086640128,629711530.7,629711530.7,104.5,8,671.6656043,4752,4972,175061.3333,213995.3333,1162.666667,2181.798327,4.432878346,2186.231206,5769.923384,309088.0957,35978.52634,345066.6221,928022.2514,495766186.7,41.75786466,30.49936192,11.25850274,801214464,800145408,91.87135783,542972586.7,542356138.7,679845888,678281216,678281216,79,8,1236.133968,1088,636,143568,76328,828.3333333,1234.296582,1620.416357,2854.712939,4096.259867,50434234.53,75664499.79,126098734.3,185898.5922,533389994.7
10682,50.46850251,42.04325784,8.42524467,2699665408,2699665408,107.3948487,837758976,419534165.3,1086640128,540285610.7,540285610.7,107,8,731.6690376,4752,4972,170816,166859.3333,1150.833333,1666.664521,3.56703679,1670.231557,4449.578692,236110.8006,28962.32574,265073.1264,709504.0239,408749397.3,40.56181121,34.45153837,6.110272844,801214464,800145408,15.91746671,548223658.7,548223658.7,679845888,678998016,678998016,79,8,1296.131674,1088,636,143568,69856,833.8333333,933.5156308,1235.614814,2169.130445,3121.146392,38183492.93,57355489.13,95538982.08,141501.6342,539257514.7
11917,49.65059602,39.81907114,9.831524881,2702985899,2702985899,917.1677433,837758976,401594368,1086640128,526802944,526802944,110.1666667,8,791.6652376,4752,4972,171648,169412.6667,1183.5,1700.024851,3.501036653,1703.525887,4538.956967,240836.8503,28514.61448,269351.4647,726068.4752,390809600,34.50354074,27.89924582,6.604294909,811555498.7,811199146.7,69.08675195,552956586.7,551589888,681839274.7,679718912,679718912,79,8,1356.129379,1088,636,143568,74228.66667,835,994.1679334,1316.28454,2310.452473,3326.654815,40693190.72,61146058.82,101839249.5,150630.2187,542623744
14736,95.60772566,78.733756,16.87396967,2721335979,2721335979,593.5267864,837758976,466057898.7,1086640128,599829845.3,599829845.3,127.6666667,8,851.6621043,4752,4972,175072,189014.6667,1362.5,2239.92477,4.750057599,2244.674828,5966.534726,317287.2699,38571.37832,355858.6482,973997.7617,455273130.7,40.11979147,30.00533983,10.11445164,816726016,816726016,66.37013506,556806144,555571200,682835968,680373589.3,680373589.3,79,8,1416.127085,1088,636,143568,92901.33333,838.3333333,1273.899009,1686.970304,2960.869312,4254.586011,52152404.97,78468223.86,130620628.8,192492.2892,546605056
14396,66.94223979,55.75940919,11.18283061,2751395157,2751220395,983.1485055,837758976,552269141.3,1086640128,698232149.3,698232149.3,156.1666667,8,911.660671,4752,4972,180864,204742,1624.333333,2053.519654,4.518002182,2058.037657,5453.7851,290945.96,36672.79394,327618.7539,869918.1393,541484373.3,41.43864169,32.41781832,9.020823375,816726016,816726016,375.5603452,561504938.7,558243840,685321557.3,680927914.7,680927914.7,79,8,1476.13259,1088,636,143568,73122.66667,848.1666667,1183.500581,1580.814369,2764.31495,3968.34031,48473375.02,73713018.68,122186393.7,177354.4749,549277696
16739,87.08113415,66.9875015,20.09363266,2754191360,2753142784,787.1719691,837758976,647494997.3,1086640128,796595541.3,796595541.3,158,8,971.6640043,4752,4972,182400,181646,1648.5,2507.658396,5.032187865,2512.690584,6632.472528,355256.3263,40857.3564,396113.6827,1075036.151,636710229.3,49.9742315,38.71572877,11.25850273,816726016,816726016,213.9610225,565710848,560498688,688629077.3,681218730.7,681218730.7,79,8,1536.138095,1088,636,143568,73328,863.1666667,1446.507,1917.097653,3363.604653,4818.26211,59257651.45,89504765.93,148762417.4,215840.4421,551532544
15557,85.83754842,64.06922762,21.7683208,2754191360,2753142784,392.7085668,837758976,631234560,1086640128,783101952,783101952,158,8,1031.667104,4752,4972,182208,213432.6667,1648,2410.787729,5.133600197,2415.921329,6375.751789,341523.5327,41709.75164,383233.2843,1028346.872,620449792,43.00149586,34.11572539,8.885770469,816726016,816726016,73.08715333,566181888,563944789.3,689197056,682930176,682930176,79,8,1596.549136,1088,636,143568,98138.66667,870.8333333,1350.137167,1784.359809,3134.496976,4517.102565,55323572.57,83401019.42,138724592,204344.0854,554977962.7
14443,87.1241135,70.66593133,16.45818217,2754191360,2753142784,42.32895541,837758976,569963861.3,1086640128,689643520,689643520,158,8,1091.670004,4752,4972,179360,208906.6667,1632.833333,2136.389647,4.483332036,2140.872979,5674.350571,302659.9256,36275.11997,338935.0455,911471.7447,559179093.3,47.89422277,40.09386076,7.800362014,816726016,816551253.3,20.50504322,566181888,564981760,689197056,682394965.3,682394965.3,78.83333333,8,1656.54674,1088,636,143568,80794.66667,875.8333333,1236.34569,1636.515489,2872.861179,4115.390844,50670816.56,76369338.2,127040154.8,187476.5831,556011520
