req/minp,java_% Processor Time,java_% User Time,java_% Privileged Time,java_Virtual Bytes Peak,java_Virtual Bytes,java_Page Faults/sec,java_Working Set Peak,java_Working Set,java_Page File Bytes Peak,java_Page File Bytes,java_Private Bytes,java_Thread Count,java_Priority Base,java_Elapsed Time,java_ID Process,java_Creating Process ID,java_Pool Paged Bytes,java_Pool Nonpaged Bytes,java_Handle Count,java_IO Read Operations/sec,java_IO Write Operations/sec,java_IO Data Operations/sec,java_IO Other Operations/sec,java_IO Read Bytes/sec,java_IO Write Bytes/sec,java_IO Data Bytes/sec,java_IO Other Bytes/sec,java_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_Elapsed Time,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
12140,64.19709034,56.32162804,7.875462302,1395726336,1392410624,1219.170619,501977088,478685184,598573056,566128640,566128640,128,8,410.8214697,1372,820,177184,165610.6667,1398.166667,1883.880161,3.832699836,1887.712861,4955.800876,266947.755,31088.01811,298035.7731,788750.4332,467949568,35.23118342,26.52089084,8.710292579,857632768,833298432,16.13427757,473292800,228969130.7,705519616,685037568,685037568,79,8,357484.922,1640,624,168128,80229.33333,2407.166667,1070.91082,1437.08163,2507.992449,3604.704751,43899814.79,66137412.17,110037226.9,162347.7561,223453184
14637,54.88754322,46.95689143,7.930651786,1396951723,1393633963,206.1457392,501977088,478008661.3,598573056,560091136,560091136,129.1666667,8,470.8224417,1372,820,179264,167558.6667,1419.5,2030.243409,4.31696157,2034.560371,5368.530111,287617.8163,34940.17636,322557.9927,860747.2491,467268949.3,34.09322353,25.25150147,8.84172206,857632768,833298432,19.07653282,473292800,230442325.3,705519616,684900352,684900352,79,8,357544.9195,1640,624,168128,71712,2411,1177.246502,1577.493472,2754.739974,3929.010951,48258829.34,72800971.62,121059801,177634.8887,224920234.7
14708,93.40954342,77.39526229,16.01428113,1411110229,1411110229,107.8773787,501982549.3,493904554.7,598573056,582224554.7,582224554.7,145.8333333,8,530.8210207,1372,820,186709.3333,195529.3333,1564,2322.254027,5.083083727,2327.337111,6030.922717,328985.9871,41190.60307,370176.5902,968123.4863,483164842.7,47.11358255,37.44125765,9.672324893,857632768,833298432,136.2735845,473292800,233461760,705519616,687239168,687239168,79,8,357604.9132,1640,624,168128,73917.33333,2419.5,1314.624046,1745.24833,3059.872376,4406.931624,53889113.18,81115861.7,135004974.9,196185.8771,227933525.3
11035,45.92113022,40.06955153,5.851578696,1413382144,1413382144,100.0818733,505704448,503992320,598573056,583979690.7,583979690.7,148,8,590.8167582,1372,820,182048,176762,1529.166667,1748.546097,3.583855666,1752.129952,4616.038178,247710.697,28954.87309,276665.5701,738524.413,493252608,31.27905066,24.83083407,6.448216595,857632768,833298432,18.05107418,473292800,232738133.3,705519616,684711936,684711936,79,8,357664.9115,1640,624,168128,72130.66667,2424.166667,995.0235538,1324.342438,2319.365992,3327.406882,40788560.21,61459809.03,102248369.2,148622.3966,227208533.3
11507,38.85098716,34.04054017,4.810446986,1413382144,1413382144,26.68789899,512931157.3,512931157.3,598573056,587664042.7,587664042.7,148,8,650.8168962,1372,820,181312,176407.3333,1525.333333,1610.788286,3.500493771,1614.28878,4272.902838,228195.0073,28417.98416,256612.9914,678909.3297,502191445.3,35.56919477,29.43298865,6.136206116,857632768,833298432,6.80038662,473292800,233879552,705519616,685256021.3,685256021.3,79,8,357724.9099,1640,624,168128,73402.66667,2425.666667,919.6520967,1227.002829,2146.654925,3084.774731,37699270.53,56821947.04,94521217.57,138271.2992,228349952
14914,67.62493279,58.78525339,8.839679402,1413382144,1413382144,31.1348519,517584896,517354154.7,598573056,588025856,588025856,148,8,710.8141667,1372,820,185184,179948.6667,1545.5,2167.336688,4.483459537,2171.820147,5692.53458,307039.3641,36176.74355,343216.1076,915788.7851,506614442.7,34.60716245,27.11891092,7.488251531,857632768,833123669.3,2.866786082,473292800,234672810.7,705519616,685674496,685674496,78.83333333,8,357784.9083,1640,624,168128,72296,2427.666667,1240.937911,1652.750911,2893.688821,4148.509601,50869713.76,76737379.22,127607093,186148.3546,229143210.7
16346,69.46164956,59.87315796,9.5884916,1413382144,1413382144,35.48858171,521644032,520526506.7,598708906.7,598534144,598534144,148,8,770.8212046,1372,820,187360,185720,1556.833333,2421.69714,5.097644754,2426.794784,6334.043526,343073.7614,41442.83628,384516.5977,1027378.695,509786794.7,43.53749047,33.84204018,9.695450283,857632768,833298432,93.40623788,473292800,234331477.3,705519616,684845738.7,684845738.7,79,8,357844.9092,1640,624,168128,101861.3333,2432.5,1396.065276,1841.638599,3237.703875,4626.393439,57228467.77,86188260.24,143416728,208657.3604,228799829.3
16738,77.66614048,67.18745958,10.4786809,1415129771,1415129771,173.5086967,534677504,529411413.3,611056981.3,605493248,605493248,149.6666667,8,830.8243429,1372,820,187712,222570.6667,1573.666667,2499.589446,5.283874333,2504.873321,6524.096605,354108.5049,42986.94617,397095.4511,1046208.63,518671701.3,47.71160264,37.44125765,10.27034498,857632768,833298432,187.8121763,473292800,235112448,705519616,685305856,685305856,79,8,357904.9206,1640,624,168128,80272,2436.5,1416.336164,1874.791766,3291.12793,4737.83574,58059415.03,87691278.3,145750693.3,210670.5158,229576021.3
15971,83.20029069,73.70900868,9.491281996,1415479296,1415479296,113.3273271,541978624,529029802.7,622796800,608813056,608813056,150,8,890.8236816,1372,820,186016,187240,1568,2509.5803,5.234203835,2514.814504,6531.100744,355523.4963,42433.93689,397957.4332,1050273.895,518290090.7,52.46976246,42.45942621,10.01033625,857632768,833298432,161.4424478,473292800,234547200,705519616,684380160,684380160,79,8,357964.919,1640,624,168128,90765.33333,2441.666667,1434.194207,1900.002749,3334.196956,4785.708795,58792564.24,88694194.47,147486758.7,214242.9395,229009408
14100,49.56449485,42.2832286,7.281266253,1415479296,1415479296,100.0544272,541978624,531121493.3,622796800,608451242.7,608451242.7,150,8,950.8261521,1372,820,185952,208552,1567.5,2068.61321,4.366988648,2072.980198,5447.274233,293053.538,35394.57331,328448.1113,874704.6532,520381781.3,40.92537469,33.67113101,7.25424367,857632768,833298432,108.3546349,473292800,234587477.3,705519616,684163072,684163072,79,8,358024.9174,1640,624,168128,69584,2446.166667,1188.903581,1577.793414,2766.696995,3962.300868,48736003.88,73612333.6,122348337.5,178456.2176,229049002.7
