req/minv,java_% Processor Time,java_% User Time,java_% Privileged Time,java_Virtual Bytes Peak,java_Virtual Bytes,java_Page Faults/sec,java_Working Set Peak,java_Working Set,java_Page File Bytes Peak,java_Page File Bytes,java_Private Bytes,java_Thread Count,java_Priority Base,java_Elapsed Time,java_ID Process,java_Creating Process ID,java_Pool Paged Bytes,java_Pool Nonpaged Bytes,java_Handle Count,java_IO Read Operations/sec,java_IO Write Operations/sec,java_IO Data Operations/sec,java_IO Other Operations/sec,java_IO Read Bytes/sec,java_IO Write Bytes/sec,java_IO Data Bytes/sec,java_IO Other Bytes/sec,java_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_Elapsed Time,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
2778,31.18418414,22.95467262,8.22951152,1365764779,1365764779,716.0669817,389394432,367223466.7,509521920,460466858.7,460466858.7,127.6666667,8,504.0794015,1736,3064,177197.3333,138000,1409.166667,420.9587782,0.934620578,421.8933987,1184.043119,59642.87265,7173.98759,66816.86024,195246.7102,361693866.7,44.94791667,35.13020833,9.817708333,480436224,480240981.3,2.566862696,299769856,298711040,310960128,310951936,310951936,86.83333333,8,269358.8503,1288,472,225192,72725.33333,2619.833333,535.7938619,300.2481228,836.0419846,839.1581541,14999244.64,13628886.87,28628131.51,9051.285843,288131072
2695,22.02372093,15.83764257,6.186078365,1366477483,1366114304,496.7309147,393117696,349942442.7,509521920,435811669.3,435811669.3,128,8,572.3773527,1736,3064,176077.3333,136061.3333,1407.166667,440.0410163,0.933862655,440.9748789,1241.049038,62346.8741,7378.326427,69725.20053,207117.5373,344412842.7,50.46875,39.921875,10.546875,480436224,480415744,0.400034144,299769856,298822997.3,310968320,310960128,310960128,87,8,269418.8503,1288,472,225192,73669.33333,2619.5,542.05001,317.0340873,859.0840973,876.9980072,15386043.82,14345792.99,29731836.82,10171.59321,288243029.3
3263,27.0924665,18.31893046,8.77353604,1390762667,1390581077,694.0445673,407852373.3,396603392,512628736,483921237.3,483921237.3,151.3333333,8,626.2549443,1736,3064,187890.6667,168885.3333,1645.833333,477.8379621,0.951330248,478.7892924,1355.912596,67697.12223,7387.466808,75084.58904,228644.3326,391073792,53.671875,41.875,11.796875,480436224,480415744,0.33334569,299769856,298879658.7,310968320,310960128,310960128,87,8,269478.8503,1288,472,225192,72760,2624,613.1235275,343.8295836,956.9531111,954.4687517,17184649.04,15637756.59,32822405.63,9424.841057,288299690.7
3165,21.91276922,13.88735131,8.025417908,1395832149,1395474432,327.1724056,426651648,402946048,515735552,479693482.7,479693482.7,156,8,690.5542145,1736,3064,183197.3333,152181.3333,1619.666667,454.5986717,0.883491126,455.4821628,1286.144924,64401.47849,6933.605863,71335.08435,213579.7151,397416448,48.203125,39.0625,9.140625,480436224,480240981.3,0.700011453,299769856,298892629.3,310968320,310956032,310956032,86.83333333,8,269538.8503,1288,472,225192,72720,2622,528.8866889,317.3104494,846.1971383,892.34703,15144002.13,14328125.14,29472127.27,9901.479584,288312661.3
2855,21.93704456,15.37624892,6.560795651,1396703232,1395474432,273.599313,426651648,389316608,515735552,459432618.7,459432618.7,156,8,746.839934,1736,3064,177485.3333,136594.6667,1638.333333,440.4140443,0.934569984,441.3486142,1242.259945,117329.5876,7156.846907,124486.4345,208566.7301,383787008,48.61775811,39.08751729,9.53024082,481464320,481464320,0.16670033,299769856,298930176,310992896,310984704,310984704,88,8,269598.8477,1288,472,225192,75346.66667,2619.166667,541.4866493,312.9684338,854.4550831,882.4646564,15415698.8,14243703.92,29659402.72,10158.77406,288350208
2848,21.02145192,14.19593585,6.825516064,1396781056,1393901568,225.5901691,426651648,377247061.3,515735552,443727189.3,443727189.3,154.5,8,808.8835818,1736,3064,181069.3333,141162.6667,1648.333333,436.7975454,0.901433858,437.6989793,1238.309053,61879.65227,6822.915782,68702.56805,209586.3181,371709269.3,47.421875,37.76041667,9.661458333,481474560,480590506.7,4.38332109,299872256,298926080,311511040,310964224,310964224,87.16666667,8,269658.8503,1288,472,225192,72800,2623.833333,525.3055033,314.6362488,839.9417521,875.848883,15152712.11,14385563.44,29538275.55,9169.127579,288346112
2919,22.51907877,14.83942485,7.679653915,1396781056,1393377280,692.2838867,434879829.3,394339669.3,517514581.3,462584490.7,462584490.7,154,8,868.8840701,1736,3064,186632,160312,1627,438.5266282,0.9339228,439.460551,1242.150369,62124.60566,7264.317339,69388.923,212120.4505,388801194.7,46.27604167,35.83333333,10.44270833,481484800,480415744,0.116671603,299974656,298930176,312029184,310960128,310960128,87,8,269718.8503,1288,472,225192,72760,2625.333333,530.7127118,312.1145309,842.8272427,875.3561648,15172647.04,14205564.79,29378211.83,8687.24865,288350208
2900,22.73326384,15.39003169,7.343232147,1397743616,1395474432,397.9292061,461035520,440447658.7,534253568,509396309.3,509396309.3,156,8,928.8899295,1736,3064,187565.3333,164181.3333,1645.833333,436.5832776,0.884296907,437.4675745,1250.213018,61849.29766,6756.903946,68606.20161,210874.4428,434905770.7,48.33333333,38.984375,9.348958333,481484800,480415744,0.083336429,299974656,298932224,312029184,310960128,310960128,87,8,269778.8503,1288,472,225192,72760,2622.333333,544.4260625,312.8983792,857.3244416,866.4914965,15451725.92,14229158.38,29680884.29,9403.559675,288352256
3018,25.52046561,17.6304331,7.890032509,1400018261,1400018261,400.1727591,490004480,460421802.7,560214016,524501674.7,524501674.7,160.3333333,8,988.5633365,1736,3064,187229.3333,163826.6667,1676.666667,436.3733988,0.884589051,437.2579878,1252.233227,61819.56483,6804.144059,68623.70888,218291.4352,454879914.7,48.95833333,38.77604167,10.18229167,481484800,480240981.3,0.100027192,299974656,298937002.7,312029184,310953984,310953984,86.83333333,8,269838.8503,1288,472,225192,72720,2622.5,556.9324498,323.4147893,880.3472392,888.8181385,15887709.92,14750442.12,30638152.04,8686.602962,288357034.7
2819,29.78603915,22.22474639,7.561292755,1404337493,1401765888,794.8697716,490863274.7,464447488,560214016,517963776,517963776,162,8,1048.647168,1736,3064,187229.3333,165930.6667,1691.666667,428.4762264,0.884017242,429.3602437,1212.698216,60700.79874,6703.845547,67404.64429,207991.2309,458902869.3,47.421875,36.53645833,10.88541667,481484800,480415744,0.083338011,299974656,298939050.7,312029184,310956032,310956032,87,8,269898.8503,1288,472,225192,72760,2624.5,523.5417127,304.4700328,828.0117454,855.2201001,14935116.32,13857268.35,28792384.67,8957.480627,288359082.7
