req/minv,java_% Processor Time,java_% User Time,java_% Privileged Time,java_Virtual Bytes Peak,java_Virtual Bytes,java_Page Faults/sec,java_Working Set Peak,java_Working Set,java_Page File Bytes Peak,java_Page File Bytes,java_Private Bytes,java_Thread Count,java_Priority Base,java_Elapsed Time,java_ID Process,java_Creating Process ID,java_Pool Paged Bytes,java_Pool Nonpaged Bytes,java_Handle Count,java_IO Read Operations/sec,java_IO Write Operations/sec,java_IO Data Operations/sec,java_IO Other Operations/sec,java_IO Read Bytes/sec,java_IO Write Bytes/sec,java_IO Data Bytes/sec,java_IO Other Bytes/sec,java_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_Elapsed Time,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
2262,33.72395833,26.38020833,7.34375,1370636288,1369937237,1032.072738,479760384,456808448,576978944,564299776,564299776,115.8333333,8,121.0731039,3556,1308,177501.3333,141634.6667,1293.5,320.1810926,0.566706475,320.747799,913.0732645,47535.07253,4384.357194,51919.42972,148414.0915,447180117.3,41.77083333,33.30729167,8.463541667,480436224,476221440,10.81717846,298491904,297650858.7,310173696,309133312,309133312,83,8,181339.4826,1288,472,220200,69048,2532,442.921895,250.5621509,693.4840459,706.2176623,12463373.07,11379844.91,23843217.98,7948.647387,287095466.7
2692,24.81770833,17.31770833,7.5,1385840640,1383743488,364.1162007,479760384,463547733.3,576978944,563623936,563623936,129,8,181.0731039,3556,1308,174658.6667,130650.6667,1399.833333,381.8510115,0.783368951,382.6343805,1086.234356,54110.83865,5952.883266,60063.72192,184120.9274,453918037.3,45.9375,36.06770833,9.869791667,480436224,476221440,0.433347728,298491904,297803093.3,310173696,309133312,309133312,83,8,181399.4826,1288,472,220200,70098.66667,2533.5,497.8868462,285.4613357,783.348182,800.4644312,14066812.64,12972735.51,27039548.15,10438.02029,287247701.3
2753,22.65625,15,7.65625,1401569280,1400870229,295.9629637,479760384,466797226.7,576978944,562151424,562151424,145.3333333,8,241.0731039,3556,1308,184445.3333,155901.3333,1578,416.0331369,0.783387615,416.8165245,1186.678911,58941.4283,6135.013488,65076.44178,209957.4791,457167530.7,45.03169125,36.12486396,8.906827292,480436224,476046677.3,0.133369298,298491904,297826304,310173696,309129216,309129216,82.83333333,8,181459.4852,1288,472,220200,69008,2533.166667,516.4949436,297.3431049,813.8380485,821.8346296,14711376.32,13562698.27,28274074.6,8349.88421,287270912
2683,17.60416667,11.40625,6.197916667,1413103616,1412579328,130.1876022,481857536,473414997.3,576978944,563387733.3,563387733.3,156.5,8,301.0731039,3556,1308,182562.6667,147773.3333,1659.5,392.1013791,0.866705319,392.9680845,1117.369641,110598.5789,6655.682031,117254.2609,184438.1563,463785301.3,47.00520833,37.60416667,9.401041667,480436224,476221440,0.16667765,298491904,297850880,310173696,309133312,309133312,83,8,181519.4826,1288,472,220200,69048,2533.833333,484.492274,293.6048867,778.0971606,822.3796349,14050615.69,13375189.45,27425805.14,9381.1397,287295488
2647,18.77604167,12.44791667,6.328125,1413103616,1410482176,221.0802632,489959424,474691584,580980736,563048448,563048448,154.5,8,361.0731039,3556,1308,178306.6667,136354.6667,1642.833333,396.3024515,0.800045938,397.1024975,1118.121181,56139.94187,6239.121335,62379.06321,188598.7021,465061888,43.30729167,33.77604167,9.53125,480436224,476046677.3,0.300016363,298491904,297878186.7,310173696,309129216,309129216,82.83333333,8,181579.4826,1288,472,220200,69832,2531.833333,485.1719543,273.8452687,759.017223,766.416032,13559362.85,12351915.42,25911278.27,8207.310784,287322794.7
3087,23.82089346,15.51547062,8.305422842,1413103616,1408559787,184.0070297,495964160,478408021.3,584982528,562376021.3,562376021.3,152.6666667,8,421.0757081,3556,1308,180808,143106.6667,1646.666667,456.3509637,0.899813095,457.2507767,1290.276619,64649.71985,7016.825935,71666.54578,219363.9008,468778325.3,51.14074324,40.7512083,10.38953495,480436224,476221440,0.416667634,298491904,297902080,310173696,309133312,309133312,83,8,181639.4852,1288,472,220200,69474.66667,2534.166667,545.7054528,327.6095542,873.3150071,932.8787351,15823713.17,14946459.67,30770172.83,11748.28704,287346688
2799,22.21989926,16.67139411,5.548505151,1413103616,1407511211,730.5523279,509201749.3,492049066.7,591204352,572624896,572624896,151.6666667,8,481.0731039,3556,1308,183309.3333,148968,1627.333333,427.137894,0.917010987,428.054905,1212.995725,115361.8983,6997.003916,122358.9022,209819.9428,482419370.7,47.30102726,37.0913446,10.20968266,480436224,476046677.3,0.083346103,298491904,297904128,310173696,309129216,309129216,82.83333333,8,181699.4852,1288,472,220200,70232,2535.166667,507.1944197,299.9822444,807.176664,833.9041605,14546986.72,13646464.83,28193451.56,8438.485416,287348736
3047,21.484375,14.79166667,6.692708333,1413627904,1408385024,135.5061399,511090688,494125738.7,593969152,580384085.3,580384085.3,152.5,8,541.0731039,3556,1308,187752,166602.6667,1680.333333,455.2177571,0.933401056,456.1511581,1293.819164,64488.13225,7322.557705,71810.68995,218329.3625,484491946.7,49.53125,39.40104167,10.13020833,480436224,476221440,0.083338315,298491904,297911637.3,310173696,309133312,309133312,83,8,181759.4826,1288,472,220200,69133.33333,2536,534.907738,325.2486493,860.1563873,906.9929147,15565144.74,14836677.73,30401822.47,10706.15157,287356245.3
3116,20.9375,14.86979167,6.067708333,1416249344,1416249344,40.2845216,511090688,493838336,593969152,579612672,579612672,160,8,601.0731039,3556,1308,187080,164328,1724,463.8091041,0.900054687,464.7091588,1323.123672,65703.21751,7017.364496,72720.582,225992.2245,484204544,51.484375,40.65104167,10.83333333,480436224,476221440,0.016665427,298491904,297918464,310173696,309133312,309133312,83,8,181819.4826,1288,472,220200,69048,2535.5,563.8173802,336.0434896,899.8608699,938.0427886,16255055.73,15315007.03,31570062.76,10058.42706,287363072
3126,21.43229167,14.81770833,6.614583333,1418346496,1418346496,75.96826116,511090688,495239850.7,593969152,580883797.3,580883797.3,162,8,661.0731039,3556,1308,191128,163530.6667,1744.833333,448.2226059,0.950054341,449.1726603,1270.998828,63519.85373,7407.269124,70927.12285,216484.4839,485606058.7,51.56266105,41.45901426,10.10364679,480436224,476221440,0.083339145,298491904,297922560,310173696,309133312,309133312,83,8,181879.4852,1288,472,220200,69048,2535.666667,547.9712964,343.114068,891.0853643,952.3900328,16201077.63,15685507.13,31886584.76,11372.92919,287367168
