req/minp,wamp_% Processor Time,wamp_% User Time,wamp_% Privileged Time,wamp_Virtual Bytes Peak,wamp_Virtual Bytes,wamp_Page Faults/sec,wamp_Working Set Peak,wamp_Working Set,wamp_Page File Bytes Peak,wamp_Page File Bytes,wamp_Private Bytes,wamp_Thread Count,wamp_Priority Base,wamp_Elapsed Time,wamp_ID Process,wamp_Creating Process ID,wamp_Pool Paged Bytes,wamp_Pool Nonpaged Bytes,wamp_Handle Count,wamp_IO Read Operations/sec,wamp_IO Write Operations/sec,wamp_IO Data Operations/sec,wamp_IO Other Operations/sec,wamp_IO Read Bytes/sec,wamp_IO Write Bytes/sec,wamp_IO Data Bytes/sec,wamp_IO Other Bytes/sec,wamp_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_Elapsed Time,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
37631,13.52332174,8.997664118,4.525657622,135600128,135482026.7,203.0923145,29946538.67,29922645.33,33928533.33,33926485.33,33926485.33,69,8,3.83257665,4070.666667,2740,166277.3333,50269.33333,274.6666667,0,54.5481641,54.5481641,3091.855513,0,10730.89752,10730.89752,82825.74413,19986432,80.00998737,57.39478289,22.61520448,781780309.3,767814314.7,144.5629922,518324224,517750784,679964672,662331392,662331392,48.16666667,8,431.4177949,4156,636,136933.3333,39240,727.3333333,6338.189469,70.93563057,6409.125099,7609.100441,178082.5809,851310.1047,1029392.686,42037.78463,508146346.7
13851,20.89547741,12.98466253,7.988813825,121090048,121054549.3,242.0165155,29491882.67,29463210.67,33230848,33228800,33228800,69,8,8.74767495,4565.333333,2740,165842.6667,49956,272.1666667,0,76.65066421,76.65066421,4300.303099,0,14997.0345,14997.0345,114376.1029,19483989.33,73.92003457,54.39415622,19.52587835,783368192,759076181.3,17.35938774,522035200,521614677.3,679964672,660241066.7,660241066.7,39.83333333,8,491.4198282,4156,636,135376,30360,719.8333333,3193.645716,59.38800753,3253.033723,3606.765374,77708.28567,446195.6743,523903.96,20591.9105,512009557.3
8737,6.9122697,4.495627217,2.416642483,126507008,123979776,390.9588954,36211370.67,35943082.67,47602346.67,47467178.67,47467178.67,46.16666667,6.666666667,6.133456,3763.333333,2283.333333,139316,52633.33333,253.6666667,0.716693883,32.39665519,33.11334907,1889.920907,2491.327942,6309.678753,8801.006693,50635.08422,28595541.33,55.90631095,40.35607159,15.55023936,783368192,758377130.7,14.83823748,524023125.3,523403264,679964672,660370773.3,660370773.3,39.16666667,8,551.4218616,4156,636,134704,28136,727,2017.747574,37.2890152,2055.03659,2245.572407,49108.14282,285312.6962,334420.839,12878.88007,513798144
15911,29.03737293,17.91119902,11.12617391,137384618.7,137349802.7,335.1494088,34270549.33,34243925.33,41050112,41046698.67,41046698.67,69,8,23.9388121,3509.333333,2740,169861.3333,52706.66667,288.5,0,94.50549178,94.50549178,5358.125786,0,18546.3996,18473.93436,142919.2969,24268800,48.0912325,34.67839815,13.41283435,800669696,771309568,91.22297419,528437930.7,527860394.7,679964672,665597952,665597952,51.5,8,611.4238949,4156,636,138400,43234.66667,785.5,3281.117199,40.94613212,3322.063331,3554.596639,79913.60429,761104.128,841017.7324,21351.93255,518253909.3
7329,36.19416732,22.51764843,13.6765189,116215808,116022613.3,720.5787264,31573333.33,31552853.33,38718805.33,38717440,38717440,57.66666667,8,17.5770182,5306,2740,144805.3333,48678.66667,256,1.332672458,149.6121961,150.9448686,8584.548732,6253.065755,29347.75739,35600.82315,230054.0207,23251626.67,44.3539715,33.27848179,11.07548971,814825472,758901418.7,12.83091852,531422549.3,530543274.7,679964672,663396352,663396352,39.66666667,8,671.4209282,4156,636,135898.6667,31925.33333,768,1595.024876,24.89965919,1619.924534,1640.695281,38849.34372,146704.5636,185553.9074,9954.608176,520934058.7
13252,19.7661696,12.53578362,7.230385984,136980480,136945664,247.6768007,36249600,36218880,44268202.67,44264789.33,44264789.33,69,8,7.00097335,3869.333333,2740,172080,57445.33333,300,0,78.86248596,78.86248596,4475.222942,0,15463.66763,15463.66763,119818.3345,26250581.33,48.03761562,33.81857625,14.21903937,814825472,761348096,42.29798658,533309440,532339370.7,679964672,664126122.7,664126122.7,42,8,731.4229615,4156,636,136272,35520,780.1666667,2614.747379,40.93776302,2655.685142,2675.204555,63739.13562,710884.3182,774623.4538,16524.08937,522730154.7
12111,6.393197477,4.132241695,2.260955782,129667754.7,129639765.3,182.5240994,32028672,32004778.67,37339818.67,37337770.67,37337770.67,69,8,6.2151243,4000,2740,166898.6667,52445.33333,281.5,0,18.55766142,18.55766142,1091.290196,0,3623.241793,3623.241793,29170.547,22037162.67,62.50602296,46.48984744,16.01617552,814825472,761522858.7,26.74704718,537024512,536507733.3,679964672,664235349.3,664235349.3,42.16666667,8,791.4249949,4156,636,136197.3333,33442.66667,794.1666667,3159.704758,25.38610885,3185.090867,3154.360446,77010.90944,120869.3816,197880.2911,19605.68121,526898517.3
5919,14.4849391,8.971894901,5.513044198,114785621.3,114761728,108.8737372,23149226.67,23131477.33,22749184,22745770.67,22745770.67,69,8,22.6437862,4740,2740,151984,43000,242.1666667,0,33.20747121,33.20747121,1902.556347,0,6497.007693,6497.007693,49850.66906,13163861.33,32.67359405,23.42018744,9.253406613,814825472,761173333.3,20.46305739,538241706.7,537933824,679964672,664143872,664143872,41.83333333,8,851.4245281,4156,636,135712,32246,798,1508.677051,40.09301432,1548.770065,1498.981953,36793.51916,744601.0672,781394.5863,9384.520878,528324608
2417,13.70358562,8.580808712,5.122776912,118954666.7,118661120,171.6193507,26287445.33,26271061.33,27266389.33,27262293.33,27262293.33,69,8,62.23374465,4900,2740,153925.3333,44208,250.1666667,0,32.45543188,32.45543188,1835.748368,0,6311.439754,6311.439754,48133.12603,16300032,19.13557588,14.84555504,4.290020832,814825472,758202368,5.664614868,539975680,538735957.3,679964672,663347200,663347200,39,8,911.4273949,4156,636,134256,26720,787,559.5098792,16.51727519,576.0271544,564.3990532,13661.27258,38460.41694,52121.68953,3440.929979,529126741.3
4084,0.15591992,0.15591992,0,106716501.3,106713088,62.41972682,22437888,22416725.33,24756906.67,24754176,24754176,56.33333333,8,12.81108955,3735.333333,2740,145368,40696,216.3333333,1.316028401,0.149927286,1.465955687,25.07117397,3899.442128,15.24260743,3914.684735,504.7218797,14206976,15.54869245,11.72663879,3.822053658,814825472,758202368,1.283582923,539975680,539065002.7,679964672,663347200,663347200,39,8,971.4285949,4156,636,134256,26720,787,475.448126,28.73632067,504.1844467,466.1506397,11575.49452,499382.6362,510958.1308,2911.429935,529455786.7
