req/minv,java_% Processor Time,java_% User Time,java_% Privileged Time,java_Virtual Bytes Peak,java_Virtual Bytes,java_Page Faults/sec,java_Working Set Peak,java_Working Set,java_Page File Bytes Peak,java_Page File Bytes,java_Private Bytes,java_Thread Count,java_Priority Base,java_Elapsed Time,java_ID Process,java_Creating Process ID,java_Pool Paged Bytes,java_Pool Nonpaged Bytes,java_Handle Count,java_IO Read Operations/sec,java_IO Write Operations/sec,java_IO Data Operations/sec,java_IO Other Operations/sec,java_IO Read Bytes/sec,java_IO Write Bytes/sec,java_IO Data Bytes/sec,java_IO Other Bytes/sec,java_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_Elapsed Time,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
2683,24.90219373,18.15574725,6.746446485,1413713920,1382694912,239.9167428,479633408,384511317.3,554012672,434242901.3,434242901.3,128,8,1269.857819,3080,2836,181517.3333,137232,1492.166667,379.6969066,0.852006771,380.5489133,1081.856844,53790.3951,6710.075465,60500.47056,176454.1072,374803797.3,44.1923034,35.86018289,8.332120511,461742080,461737984,0.783064356,293543936,291807914.7,305463296,303591424,303591424,85,8,3559.854363,1288,472,212456,70784,1922.833333,508.8308228,287.383045,796.2138679,816.8490792,14260431.88,13000608.32,27261040.2,9063.893526,281281194.7
2744,26.15235681,18.73515141,7.417205403,1413713920,1382694912,269.7398264,479633408,368958805.3,554012672,419626325.3,419626325.3,128,8,1329.432979,3080,2836,180248,135296,1486.5,415.0189885,0.901647838,415.9206363,1168.75266,58794.3567,6905.45776,65699.81446,194277.1946,359251285.3,44.68294683,36.50662765,8.176319184,461742080,461737984,7.083643833,293543936,291820202.7,305463296,303603029.3,303603029.3,85,8,3619.851759,1288,472,212456,71040,1933.333333,487.1658322,291.477394,778.6432263,814.1270889,14092549.62,13231010.92,27323560.53,9794.846326,281293482.7
2645,23.75303939,16.4345496,7.318489787,1413713920,1407685973,484.068016,479633408,434765141.3,554012672,487247872,487247872,151.8333333,8,1389.645094,3080,2836,188088,161048,1620.666667,420.8086066,0.867812815,421.6764194,1193.824174,59614.55261,6797.330211,66411.88282,197015.8786,425057621.3,42.09147604,33.92116102,8.170315021,461742080,461737984,4.100072306,293543936,292132864,305463296,303908864,303908864,85,8,3680.509654,1288,472,212456,71184,1938.666667,492.6483488,283.8422567,776.4906056,795.642356,13954990.17,12871852.63,26826842.8,7426.030913,281606144
2794,28.37268666,20.41965153,7.953035135,1413713920,1412055040,196.3257351,479633408,388664661.3,554012672,438223530.7,438223530.7,156,8,1449.599391,3080,2836,183533.3333,151800,1618.166667,429.4091718,0.834055733,430.2432276,1213.237664,60832.96601,6410.09747,67243.06348,207300.6001,378957141.3,50.14579713,40.38677261,9.759024516,461742080,461563221.3,9.0335783,293703680,292255744,305503573.3,304048810.7,304048810.7,84.83333333,8,3739.882594,1288,472,212456,70744,1942.833333,495.317612,298.6268255,793.9444374,832.8956669,14281908.47,13538569.78,27820478.26,9359.045878,281729024
2972,27.32540361,18.96374103,8.361662578,1413713920,1411181227,136.8467067,479633408,381836629.3,554012672,430665728,430665728,155.1666667,8,1509.189756,3080,2836,178194.6667,134674.6667,1591,439.2179764,0.884413522,440.1023899,1245.498766,62222.54666,6831.804412,69054.35107,209860.9777,372129109.3,42.90479858,35.04052577,7.864272809,461742080,461737984,8.065525787,293736448,292420266.7,305512448,304308906.7,304308906.7,85,8,3800.516381,1288,472,212456,70784,1947.166667,509.9526405,313.2013382,823.1539787,897.8339989,14855973.03,14209649.81,29065622.84,9425.783571,281893546.7
2909,25.57348541,18.49012093,7.083364485,1413713920,1406287872,532.9699423,479633408,409505792,554012672,465717248,465717248,150.5,8,1569.435528,3080,2836,182114.6667,150034.6667,1589.833333,434.9835985,0.90100031,435.8845988,1235.258949,61622.67646,6908.884233,68531.56069,207959.2676,399798272,45.93523286,37.01156752,8.923665336,461742080,461563221.3,19.73345902,293736448,292115114.7,305512448,303936853.3,303936853.3,84.83333333,8,3860.314513,1288,472,212456,70744,1952.833333,495.2749336,318.1649414,813.439875,882.1437092,14758416.92,14493836.7,29252253.62,11618.18282,281588394.7
2900,23.57204538,16.60231666,6.969728718,1413713920,1405763584,279.3410173,479633408,456576341.3,554012672,505399978.7,505399978.7,150,8,1629.074094,3080,2836,185586.6667,155010.6667,1603.333333,413.309933,0.901972222,414.2119052,1167.442194,58552.2405,6941.567563,65493.80807,193372.1776,446868821.3,49.910581,40.74871406,9.16186694,461742080,461737984,18.86897024,293984938.7,292622336,305867434.7,304457045.3,304457045.3,85,8,3919.294177,1288,472,212456,70784,1956.333333,486.6994317,300.9755256,787.6749572,847.132047,14178457.47,13632280.9,27810738.37,9544.041368,282095616
2707,24.59066204,17.77085777,6.819804263,1415156395,1411181227,465.5466396,480730453.3,439460522.7,554110976,490015402.7,490015402.7,155.1666667,8,1689.224994,3080,2836,187789.3333,163469.3333,1644.666667,425.2157606,0.900681495,426.1164421,1214.662941,60238.89942,6877.021808,67115.92122,208879.9391,429753002.7,44.43185048,35.36865758,9.0631929,461742080,461737984,8.7500634,294109184,292994389.3,306044928,304739669.3,304739669.3,85,8,3982.256006,1288,472,212456,71808,1957.833333,474.079852,294.5978677,768.6777196,816.4431709,13762297.39,13338558.28,27100855.66,10150.59534,282467669.3
3082,27.42119301,19.86962522,7.551567787,1418800469,1417996971,566.0827138,496354645.3,482766848,562352128,530876416,530876416,161.6666667,8,1749.224017,3080,2836,187192,165564.6667,1685.5,439.2972692,0.901036868,440.1983061,1256.926401,62233.77981,6809.290403,69043.07021,213716.1522,473059328,51.35695968,40.62568105,10.73127863,461742080,461737984,15.64036958,294109184,292899498.7,306044928,304760149.3,304760149.3,85,8,4037.629001,1288,472,212456,70784,1962.166667,524.9364737,328.9162606,853.8527343,923.5515073,15604965.84,15028190.34,30633156.18,10513.08481,282372778.7
2628,25.20450719,18.60448237,6.600024822,1424216064,1419395072,332.9073399,532553728,459177301.3,595980288,498980181.3,498980181.3,163,8,1808.863615,3080,2836,187917.3333,157957.3333,1729.666667,405.2529461,0.850890818,406.1038369,1149.080327,112262.899,6609.967559,118872.8666,191122.0145,449469781.3,40.69617854,32.33569208,8.360486458,461742080,461563221.3,10.40025191,294109184,292343808,306044928,304084992,304084992,84.83333333,8,4103.971249,1288,472,212456,70744,1974,466.8338516,268.3626997,735.1965513,761.0978933,13040919.07,12084225.65,25125144.72,7432.562787,281817088
