req/minp,wamp_% Processor Time,wamp_% User Time,wamp_% Privileged Time,wamp_Virtual Bytes Peak,wamp_Virtual Bytes,wamp_Page Faults/sec,wamp_Working Set Peak,wamp_Working Set,wamp_Page File Bytes Peak,wamp_Page File Bytes,wamp_Private Bytes,wamp_Thread Count,wamp_Priority Base,wamp_ID Process,wamp_Creating Process ID,wamp_Pool Paged Bytes,wamp_Pool Nonpaged Bytes,wamp_Handle Count,wamp_IO Read Operations/sec,wamp_IO Write Operations/sec,wamp_IO Data Operations/sec,wamp_IO Other Operations/sec,wamp_IO Read Bytes/sec,wamp_IO Write Bytes/sec,wamp_IO Data Bytes/sec,wamp_IO Other Bytes/sec,wamp_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
3232,6.135035616,4.237359385,1.897676232,189661184,189636608,174.3128416,56705706.67,56685226.67,77052586.67,77048490.67,77048490.67,69,8,4788,5276,204976,91242.66667,383,0,54.01029303,54.01029303,3191.363083,0,10582.98879,10582.98879,84093.0194,46613162.67,5.303319912,3.84752089,1.455799022,836837376,771825664,0.533151613,648007680,358707200,687226880,669483008,669483008,52,8,4376,620,202256,44288,4704.166667,4860.404909,20.16760962,4880.572519,793.7811975,1958554.657,342294.9299,2300849.587,20808.26295,350244864
3031,4.731962162,3.14593156,1.586030603,191261354.7,190685184,139.0855183,57580202.67,57556992,78612480,78608384,78608384,69,8,4620,5276,202970.6667,85857.33333,384.8333333,0,42.36737104,42.36737104,2491.193967,0,8279.423149,8279.423149,65499.17525,47482197.33,5.22518857,3.899362444,1.325826126,836837376,772349952,5.597844916,648007680,359152981.3,687226880,669667328,669667328,52.5,8,4376,620,202256,44408,4706.833333,4456.512298,28.53134676,4485.043644,725.2301066,1816358.817,610843.6396,2427202.457,19089.50239,350690645.3
2505,5.253048824,3.874572842,1.378475983,192061440,191209472,140.2642975,58144768,58124288,79617365.33,79611904,79611904,69,8,4536,5276,201776,80978.66667,384.8333333,0,43.89317447,43.89317447,2585.195115,0,8644.255251,8644.255251,68155.46227,48043349.33,5.35608567,3.952000088,1.404085582,836837376,772874240,2.431273054,648007680,359662250.7,687226880,669766997.3,669766997.3,53,8,4376,620,202480,55914.66667,4711.333333,4301.569141,29.83729731,4331.406438,720.3788706,1763715.506,632727.025,2396442.531,18431.0634,351199914.7
3000,5.382032017,3.509953029,1.872078988,228258474.7,228239360,232.3638637,76971349.33,76953600,110092288,110088874.7,110088874.7,69,8,4536,5276,226996,121175.3333,468.1666667,0,47.66822393,47.66822393,2849.464682,0,9294.572328,9294.572328,75116.74876,66867200,3.744031904,2.782030801,0.962001103,836837376,784233813.3,4.807032782,648007680,360987306.7,687226880,672866304,672866304,63.83333333,8,4376,620,204906.6667,55269.33333,4744.833333,3635.200249,33.20001231,3668.400262,613.2892134,1486971.616,841987.2664,2328958.883,15586.15458,352524970.7
2925,5.875142926,3.873286254,2.001856673,228261888,228237312,157.9897574,77197312,77146112,110492330.7,110487552,110487552,69,8,4536,5276,226480,119544,468.8333333,0,48.93023025,48.93023025,2897.134806,0,9668.213,9668.213,76311.77538,67106133.33,5.638539515,4.313591211,1.324948305,836837376,786505728,0.266613242,648007680,361226922.7,687226880,673484800,673484800,66,8,4376,620,205392,57280,4754.666667,4383.398658,31.46697978,4414.865638,717.3683692,1770760.704,700390.1433,2471150.847,18795.45357,352764586.7
1500,2.2873198,1.663471024,0.623848776,245602304,245582506.7,142.2161901,81767082.67,81758208,117297834.7,117295104,117295104,69,8,1188,5276,232762.6667,118766.6667,482.5,0,19.84636812,19.84636812,1170.927807,4.634802003,3757.473181,3757.473181,30676.30248,71674538.67,2.936687209,2.131074813,0.805612396,836837376,792797184,14.47105692,648007680,363102890.7,687226880,675226282.7,675226282.7,72,8,4376,620,205989.3333,60725.33333,4772.166667,2481.304071,28.98579129,2510.289862,397.1558303,962049.1311,766574.8463,1728623.977,10629.1535,354639872
1395,3.144702051,1.949000385,1.195701666,257425408,257400832,77.82562055,88653824,88637440,129174869.3,129172138.7,129172138.7,69,8,1188,5276,243504,138012,517.3333333,0,23.30280602,23.30280602,1363.010325,0,4527.652728,4527.652728,35842.59032,78520320,2.678302227,2.028298002,0.650004225,836837376,794894336,0.100043354,648007680,363867477.3,687226880,675799040,675799040,74,8,4376,620,207184,64704,4782,2153.322992,12.20261429,2165.525606,355.5389447,887138.6951,238860.3101,1125999.005,9194.177561,355401045.3
1204,2.209307451,1.221645658,0.987661792,257425408,257400832,64.08424134,88849066.67,88807424,129276586.7,129272490.7,129272490.7,69,8,1188,5276,235600,112344,499.5,0,20.12872338,20.12872338,1180.352089,0,3903.316529,3903.316529,31194.85369,78725120,2.339839112,1.63812133,0.701717782,836837376,794894336,0.099960119,648007680,363882496,687226880,675799040,675799040,74,8,4376,620,207184,64789.33333,4782,1653.281382,27.49450478,1680.775887,279.7266775,663305.7731,746205.0858,1409510.859,7081.860695,355416064
1482,2.678809019,1.794560905,0.884248113,200955221.3,200930645.3,76.77241386,61437269.33,61420202.67,84839765.33,84837034.67,84837034.67,69,8,5038,5276,207269.3333,89852.66667,405.1666667,0,20.54005934,20.54005934,1215.676593,0.033310517,4035.156712,4035.156712,31994.68022,51337216,2.912365017,2.080323959,0.832041057,836837376,786330965.3,7.329979851,648007680,364290730.7,687226880,673506645.3,673506645.3,65.83333333,8,4376,620,203898.6667,52653.33333,4752.5,2324.6336,7.283385621,2331.916986,360.4749881,936882.4414,83791.42929,1020673.871,9961.332279,355824298.7
977,1.819533728,1.19567205,0.623861678,189658453.3,189636608,48.47211469,56434005.33,56423082.67,77008896,77006165.33,77006165.33,69,8,3498,5276,200528,79333.33333,376.6666667,0,13.86350334,13.86350334,793.43478,8.373511555,2712.58599,2712.58599,20883.8134,46333269.33,1.819962456,1.248009183,0.571953273,836837376,782311424,7.303614002,648007680,365091498.7,687226880,672375466.7,672375466.7,62,8,4376,620,202256,46688,4737,1627.642756,23.45150082,1651.094257,283.7142078,674507.7988,625403.3027,1299911.102,7030.243727,356625066.7
