req/minv,wamp_% Processor Time,wamp_% User Time,wamp_% Privileged Time,wamp_Virtual Bytes Peak,wamp_Virtual Bytes,wamp_Page Faults/sec,wamp_Working Set Peak,wamp_Working Set,wamp_Page File Bytes Peak,wamp_Page File Bytes,wamp_Private Bytes,wamp_Thread Count,wamp_Priority Base,wamp_Elapsed Time,wamp_ID Process,wamp_Creating Process ID,wamp_Pool Paged Bytes,wamp_Pool Nonpaged Bytes,wamp_Handle Count,wamp_IO Read Operations/sec,wamp_IO Write Operations/sec,wamp_IO Data Operations/sec,wamp_IO Other Operations/sec,wamp_IO Read Bytes/sec,wamp_IO Write Bytes/sec,wamp_IO Data Bytes/sec,wamp_IO Other Bytes/sec,wamp_Working Set - Private,mysql_% Processor Time,mysql_% User Time,mysql_% Privileged Time,mysql_Virtual Bytes Peak,mysql_Virtual Bytes,mysql_Page Faults/sec,mysql_Working Set Peak,mysql_Working Set,mysql_Page File Bytes Peak,mysql_Page File Bytes,mysql_Private Bytes,mysql_Thread Count,mysql_Priority Base,mysql_Elapsed Time,mysql_ID Process,mysql_Creating Process ID,mysql_Pool Paged Bytes,mysql_Pool Nonpaged Bytes,mysql_Handle Count,mysql_IO Read Operations/sec,mysql_IO Write Operations/sec,mysql_IO Data Operations/sec,mysql_IO Other Operations/sec,mysql_IO Read Bytes/sec,mysql_IO Write Bytes/sec,mysql_IO Data Bytes/sec,mysql_IO Other Bytes/sec,mysql_Working Set - Private
459,6.40625,1.302083333,5.104166667,206451370.7,206301866.7,229.0795273,68551338.67,68545194.67,86734848,86732800,86732800,68.83333333,8,2512.493164,1848,3240,191493.3333,82621.33333,397,0,7.217656863,7.217656863,416.5032888,0,1348.206254,1348.206254,12239.60096,58710698.67,3.75,1.276041667,2.473958333,480575488,439136256,8.31964681,298893312,295238997.3,310710272,298262528,298262528,48.5,8,39469.48438,1280,500,209672,34744,2399.666667,393.2177549,11.13311706,404.3508719,191.7078132,735471.7438,268978.0642,1004449.808,2382.001545,284657664
560,5.651041667,1.848958333,3.802083333,223277056,223252480,32.46235349,76339882.67,76323498.67,98799616,98795520,98795520,69,8,2572.493164,1848,3240,196600,90462.66667,420,0,9.398737393,9.398737393,518.9294656,0,1837.725914,1837.725914,15475.32187,66476714.67,5.833341853,1.562583796,4.270758057,480575488,445952000,2.366968195,298893312,296359936,310710272,300113920,300113920,55,8,39529.49219,1280,500,212136,43872,2445,777.0863388,24.60061808,801.6869569,116.7777613,1470100.665,633552.7886,2103653.454,3111.184279,285771776
603,5.46875,1.744791667,3.723958333,223277056,223252480,33.78270038,76447744,76429994.67,98799616,98795520,98795520,69,8,2632.493164,1848,3240,193048,81992,420,0,10.04981326,10.04981326,563.2237806,0,1962.938054,1962.938054,16859.75866,66583210.67,2.213056182,0.260213534,1.952842648,480575488,445952000,1.115947502,298893312,296606378.7,310710272,300113920,300113920,55,8,39589.4974,1280,500,212136,44605.33333,2445,782.959156,25.12299296,808.0821489,107.5820858,1486028.62,653888.8638,2139917.484,3098.569197,286015488
513,5.911458333,0.9375,4.973958333,252012544,251990016,149.7245545,90791253.33,90783744,121346048,121344000,121344000,69,8,2692.493164,1848,3240,216664,103204,483,0,8.285356064,8.285356064,485.2784703,0,1554.723384,1554.723384,14208.26023,80936960,1.328573292,0.364705595,0.963867697,480575488,451369642.7,9.358550061,298893312,297094485.3,310710272,301584384,301584384,60.16666667,8,39649.48698,1280,500,213976,48666.66667,2468,613.6662273,18.77569166,632.4419189,131.9303608,1188251.523,476828.0912,1665079.614,2729.657358,286502229.3
545,6.536458333,1.927083333,4.609375,280748714.7,280727552,35.51510105,107397120,107383466.7,147480576,147477162.7,147477162.7,69,8,2752.493164,1848,3240,242360,134200,551,0,9.133073679,9.133073679,508.2869498,0,1793.245344,1793.245344,15160.49882,97536682.67,5.364508947,1.301881981,4.062626966,480575488,478457856,1.882855403,298925397.3,298924032,310710272,308936704,308936704,86,8,39709.48698,1280,500,223176,72640,2583,849.4391844,25.86622379,875.3054082,140.3544874,1558487.09,668307.8678,2226794.957,3526.863353,288331776
459,4.765625,1.40625,3.359375,280752128,280727552,26.66563458,108146005.3,108135765.3,148196010.7,148192597.3,148192597.3,69,8,2812.493164,1848,3240,238136,119728,544.5,0,8.233093226,8.233093226,422.7244435,0,1551.120783,1551.120783,12342.9317,98284885.33,8.359219487,2.161257108,6.19796238,480575488,478457856,0.533368356,298973184,298971818.7,310710272,308936704,308936704,86,8,39769.48959,1280,500,223176,72640,2583,763.1959036,28.8005733,791.9964769,117.1981377,1520459.131,730724.361,2251183.492,3059.841189,288379562.7
607,7.1875,1.380208333,5.807291667,309914282.7,309891072,73.38464293,117856938.7,117843285.3,163553962.7,163551914.7,163551914.7,69,8,2872.493164,1848,3240,256184,151821.3333,596.6666667,0,9.434018694,9.434018694,576.3545311,0,1787.246964,1787.246964,17173.14122,107992405.3,5.468266804,1.848837979,3.619428825,487554389.3,487195989.3,4.64880643,299576661.3,299573930.7,311630506.7,311329450.7,311329450.7,94.33333333,8,39829.48959,1280,500,225042.6667,80373.33333,2624.166667,617.5057717,18.30065503,635.8064266,130.9480129,1150202.274,469433.2648,1619635.538,2742.386696,288981674.7
543,4.376059598,1.250285276,3.125774322,287324842.7,287303680,38.09665054,104989354.7,104977749.3,145352704,145347242.7,145347242.7,69,8,1952.258464,1648,3240,243214.6667,138734.6667,559.5,0,8.067615798,8.067615798,451.469549,0,1602.164864,1602.164864,13497.58683,95224490.67,9.322192127,2.3174256,7.004766527,491222357.3,491215530.7,5.053124054,299726165.3,299692714.7,312437418.7,312430592,312430592,98.16666667,8,39889.48698,1280,500,225080,81408,2650.166667,809.9379696,159.1701301,969.1080997,141.1148342,1533478.525,664985.7949,2198464.32,4436.090814,289095680
542,6.692708333,1.796875,4.895833333,242148693.3,242126848,38.82169531,80947200,80939690.67,110729898.7,110726485.3,110726485.3,69,8,51.78125,1248,3240,217432,103416,468.5,0,9.301347799,9.301347799,497.9089275,0,1786.492303,1786.492303,14567.31196,71490901.33,8.200409375,1.874595387,6.325813987,502575104,476535466.7,4.645674634,299741184,298732885.3,315543552,308508672,308508672,84.16666667,8,39949.48959,1280,500,220525.3333,64058.66667,2649.833333,616.568502,59.19981693,675.7683188,97.38060809,1244130.032,666247.7124,1910377.744,2745.156458,288107861.3
619,5.651041667,1.5625,4.088541667,242151424,242126848,34.7480084,81567061.33,81554773.33,111324501.3,111321088,111321088,69,8,111.78125,1248,3240,218808,109932.6667,468,0,10.29940425,10.29940425,570.282,0,2017.454492,2017.454492,17024.43764,72105301.33,9.609301376,2.109132639,7.500168737,502575104,476360704,0.199894852,299741184,298898090.7,315543552,308461568,308461568,84,8,40009.48698,1280,500,220488,64050.66667,2650,803.7333844,27.2505641,830.9839485,112.0905265,1547065.564,714035.8138,2261101.378,3181.396115,288273066.7
